index,group_id,mean_correct,evaluated_images,mean_error
654,02::000590959702,0.0,6,1.0
634,01::419664686201,0.0,3,1.0
1190,05::004173476828,0.0,3,1.0
1262,08::003838526180,0.0,3,1.0
1295,14::004527157339,0.0,3,1.0
515,01::004264646967,0.3333333333333333,3,0.6666666666666667
543,01::004347797077,0.3333333333333333,3,0.6666666666666667
1180,05::003882066286,0.3333333333333333,3,0.6666666666666667
1260,08::003453305308,0.3333333333333333,3,0.6666666666666667
1259,08::003405435240,0.5,6,0.5
51,01::000033590001,0.6666666666666666,3,0.33333333333333337
106,01::003406315240,0.6666666666666666,3,0.33333333333333337
235,01::003542995448,0.6666666666666666,3,0.33333333333333337
260,01::003597195595,0.6666666666666666,3,0.33333333333333337
328,01::003745565931,0.6666666666666666,3,0.33333333333333337
483,01::004175266831,0.6666666666666666,3,0.33333333333333337
670,02::003505415383,0.6666666666666666,3,0.33333333333333337
814,02::004718433566,0.6666666666666666,3,0.33333333333333337
818,02::434858707802,0.6666666666666666,3,0.33333333333333337
954,03::004475397254,0.6666666666666666,3,0.33333333333333337
1047,04::003880526278,0.6666666666666666,3,0.33333333333333337
1261,08::003722805870,0.6666666666666666,3,0.33333333333333337
1278,10::004492977264,0.6666666666666666,3,0.33333333333333337
1281,11::003678625781,0.6666666666666666,3,0.33333333333333337
1285,12::003424815280,0.7777777777777778,36,0.2222222222222222
1231,06::000004960001,0.8333333333333334,18,0.16666666666666663
49,01::000029249597,0.8333333333333334,6,0.16666666666666663
167,01::003483455358,0.8333333333333334,6,0.16666666666666663
652,02::000072049596,0.8333333333333334,6,0.16666666666666663
56,01::000051199596,0.8888888888888888,9,0.11111111111111116
994,03::447463725403,0.8888888888888888,9,0.11111111111111116
64,01::000081909598,0.9166666666666666,36,0.08333333333333337
210,01::003515905415,0.9166666666666666,12,0.08333333333333337
682,02::003568265517,0.9166666666666666,12,0.08333333333333337
920,03::004226656913,0.9166666666666666,12,0.08333333333333337
990,03::392615637903,0.9166666666666666,12,0.08333333333333337
1290,13::000002919597,0.9444444444444444,36,0.05555555555555558
649,02::000066819596,0.9523809523809523,42,0.04761904761904767
992,03::421467689003,0.9523809523809523,21,0.04761904761904767
70,01::000111979598,0.9583333333333334,24,0.04166666666666663
852,03::003515705414,0.9629629629629629,27,0.03703703703703709
1254,08::000027230001,0.9649122807017544,57,0.03508771929824561
651,02::000069119596,0.9666666666666667,60,0.033333333333333326
1291,13::000023250001,0.9666666666666667,30,0.033333333333333326
62,01::000069549598,1.0,276,0.0
1004,04::000019749599,1.0,162,0.0
1000,04::000005849599,1.0,153,0.0
1289,13::000001399597,1.0,141,0.0
5,01::000004600001,1.0,138,0.0
73,01::000121259598,1.0,129,0.0
997,04::000000019599,1.0,111,0.0
55,01::000043959598,1.0,96,0.0
1299,16::000000819594,1.0,96,0.0
833,03::000058729596,1.0,93,0.0
1192,05::004191606853,1.0,93,0.0
71,01::000113559598,1.0,81,0.0
1243,07::000013310001,1.0,81,0.0
1007,04::000061579598,1.0,78,0.0
1229,05::004585287429,1.0,75,0.0
78,01::000152499598,1.0,69,0.0
57,01::000052649598,1.0,66,0.0
80,01::000157259598,1.0,66,0.0
830,03::000037509596,1.0,66,0.0
38,01::000022850001,1.0,60,0.0
48,01::000027500001,1.0,57,0.0
1018,04::003554735480,1.0,57,0.0
7,01::000004760001,1.0,54,0.0
82,01::000420000101,1.0,54,0.0
1104,04::004285927001,1.0,54,0.0
8,01::000005299598,1.0,51,0.0
36,01::000022080001,1.0,51,0.0
196,01::003501655379,1.0,51,0.0
461,01::004127386756,1.0,51,0.0
576,01::004461777244,1.0,48,0.0
1082,04::004236946932,1.0,48,0.0
16,01::000007289598,1.0,45,0.0
52,01::000033649598,1.0,45,0.0
548,01::004359087102,1.0,45,0.0
1170,05::003752925961,1.0,45,0.0
1222,05::004496577272,1.0,45,0.0
1008,04::000144589598,1.0,42,0.0
1017,04::003554595480,1.0,42,0.0
13,01::000007010001,1.0,39,0.0
24,01::000016069598,1.0,39,0.0
29,01::000017750001,1.0,39,0.0
61,01::000067959598,1.0,39,0.0
67,01::000094579598,1.0,39,0.0
860,03::003548875463,1.0,39,0.0
1263,09::003486045363,1.0,39,0.0
1274,10::003953286451,1.0,39,0.0
10,01::000006910001,1.0,36,0.0
838,03::003427435288,1.0,36,0.0
1011,04::003421475277,1.0,36,0.0
1198,05::004262726961,1.0,36,0.0
1202,05::004283316991,1.0,36,0.0
0,01::000004310001,1.0,33,0.0
218,01::003525065417,1.0,33,0.0
825,03::000025940001,1.0,33,0.0
917,03::004214566890,1.0,33,0.0
1153,05::003481615355,1.0,33,0.0
1164,05::003589025576,1.0,33,0.0
1212,05::004353787082,1.0,33,0.0
35,01::000021960001,1.0,30,0.0
45,01::000026560001,1.0,30,0.0
60,01::000066469598,1.0,30,0.0
459,01::004127086756,1.0,30,0.0
571,01::004460907244,1.0,30,0.0
577,01::004461937244,1.0,30,0.0
648,02::000066209596,1.0,30,0.0
1080,04::004208706881,1.0,30,0.0
1098,04::004283386992,1.0,30,0.0
17,01::000007330001,1.0,27,0.0
43,01::000026220001,1.0,27,0.0
114,01::003425655286,1.0,27,0.0
202,01::003506715386,1.0,27,0.0
782,02::004427357186,1.0,27,0.0
858,03::003526625419,1.0,27,0.0
1005,04::000021189599,1.0,27,0.0
1012,04::003421825277,1.0,27,0.0
1174,05::003800476101,1.0,27,0.0
1213,05::004353947082,1.0,27,0.0
1215,05::004373187108,1.0,27,0.0
3,01::000004510001,1.0,24,0.0
4,01::000004550001,1.0,24,0.0
111,01::003421915277,1.0,24,0.0
113,01::003425585286,1.0,24,0.0
162,01::003474535342,1.0,24,0.0
188,01::003497435374,1.0,24,0.0
197,01::003501785378,1.0,24,0.0
241,01::003550305470,1.0,24,0.0
407,01::003939816416,1.0,24,0.0
469,01::004135696774,1.0,24,0.0
573,01::004461227244,1.0,24,0.0
637,02::000013130001,1.0,24,0.0
645,02::000030589596,1.0,24,0.0
647,02::000049479596,1.0,24,0.0
723,02::003755315976,1.0,24,0.0
785,02::004427627186,1.0,24,0.0
803,02::004527057339,1.0,24,0.0
855,03::003516435414,1.0,24,0.0
912,03::004200616867,1.0,24,0.0
979,03::004591637447,1.0,24,0.0
1025,04::003591195585,1.0,24,0.0
1065,04::004182896838,1.0,24,0.0
1158,05::003571905521,1.0,24,0.0
1167,05::003631775663,1.0,24,0.0
2,01::000004450001,1.0,21,0.0
14,01::000007030001,1.0,21,0.0
21,01::000013520001,1.0,21,0.0
32,01::000021730001,1.0,21,0.0
63,01::000080409598,1.0,21,0.0
66,01::000090079598,1.0,21,0.0
181,01::003493985369,1.0,21,0.0
246,01::003556575482,1.0,21,0.0
427,01::004094416724,1.0,21,0.0
467,01::004133706771,1.0,21,0.0
528,01::004296357022,1.0,21,0.0
639,02::000013630001,1.0,21,0.0
834,03::001343000103,1.0,21,0.0
871,03::003651925728,1.0,21,0.0
873,03::003705695838,1.0,21,0.0
876,03::003717485859,1.0,21,0.0
1001,04::000010919599,1.0,21,0.0
1200,05::004263366961,1.0,21,0.0
1230,06::000004900001,1.0,21,0.0
1253,08::000027190001,1.0,21,0.0
1271,10::003478695350,1.0,21,0.0
1,01::000004420001,1.0,18,0.0
11,01::000006930001,1.0,18,0.0
40,01::000023740001,1.0,18,0.0
44,01::000026440001,1.0,18,0.0
65,01::000084239598,1.0,18,0.0
69,01::000111759598,1.0,18,0.0
83,01::000717000101,1.0,18,0.0
129,01::003433675293,1.0,18,0.0
154,01::003453775309,1.0,18,0.0
406,01::003935286408,1.0,18,0.0
456,01::004126656756,1.0,18,0.0
498,01::004211586888,1.0,18,0.0
599,01::004521627324,1.0,18,0.0
631,01::344736530501,1.0,18,0.0
640,02::000025779596,1.0,18,0.0
644,02::000027440001,1.0,18,0.0
653,02::000072589596,1.0,18,0.0
667,02::003483755358,1.0,18,0.0
676,02::003527625419,1.0,18,0.0
684,02::003576865534,1.0,18,0.0
703,02::003705555838,1.0,18,0.0
746,02::004093036722,1.0,18,0.0
786,02::004427637186,1.0,18,0.0
914,03::004213516890,1.0,18,0.0
974,03::004557907383,1.0,18,0.0
1002,04::000013999599,1.0,18,0.0
1006,04::000022119599,1.0,18,0.0
1013,04::003422045277,1.0,18,0.0
1064,04::004182766838,1.0,18,0.0
1113,04::004341137063,1.0,18,0.0
1130,04::004449647202,1.0,18,0.0
1148,04::004589457441,1.0,18,0.0
1176,05::003804106104,1.0,18,0.0
1179,05::003869496241,1.0,18,0.0
1209,05::004343217065,1.0,18,0.0
1218,05::004376227108,1.0,18,0.0
1219,05::004476147256,1.0,18,0.0
1244,07::000013410001,1.0,18,0.0
1250,07::004270246972,1.0,18,0.0
1276,10::004402247135,1.0,18,0.0
1287,12::004193556855,1.0,18,0.0
1298,15::003921366366,1.0,18,0.0
6,01::000004640001,1.0,15,0.0
9,01::000005909598,1.0,15,0.0
12,01::000006950001,1.0,15,0.0
26,01::000017350001,1.0,15,0.0
46,01::000026700001,1.0,15,0.0
53,01::000034250001,1.0,15,0.0
81,01::000171869598,1.0,15,0.0
84,01::001394000101,1.0,15,0.0
85,01::003379685208,1.0,15,0.0
121,01::003430265290,1.0,15,0.0
163,01::003474605342,1.0,15,0.0
171,01::003490205366,1.0,15,0.0
177,01::003493555369,1.0,15,0.0
192,01::003500965378,1.0,15,0.0
195,01::003501455378,1.0,15,0.0
200,01::003506000101,1.0,15,0.0
234,01::003541885448,1.0,15,0.0
256,01::003590585585,1.0,15,0.0
277,01::003628065657,1.0,15,0.0
280,01::003633295671,1.0,15,0.0
281,01::003645435716,1.0,15,0.0
390,01::003895156309,1.0,15,0.0
410,01::003940106416,1.0,15,0.0
457,01::004126906756,1.0,15,0.0
492,01::004192726854,1.0,15,0.0
589,01::004502197285,1.0,15,0.0
613,01::004559087385,1.0,15,0.0
642,02::000026830001,1.0,15,0.0
655,02::003380915211,1.0,15,0.0
788,02::004432307191,1.0,15,0.0
826,03::000027240001,1.0,15,0.0
829,03::000033950001,1.0,15,0.0
832,03::000058399596,1.0,15,0.0
851,03::003515325414,1.0,15,0.0
868,03::003641785707,1.0,15,0.0
886,03::003809246114,1.0,15,0.0
895,03::003871826248,1.0,15,0.0
901,03::003925586379,1.0,15,0.0
926,03::004270066972,1.0,15,0.0
933,03::004276786978,1.0,15,0.0
959,03::004503367286,1.0,15,0.0
962,03::004519627323,1.0,15,0.0
1014,04::003539755441,1.0,15,0.0
1034,04::003759875985,1.0,15,0.0
1059,04::004172826828,1.0,15,0.0
1063,04::004182586838,1.0,15,0.0
1074,04::004205336876,1.0,15,0.0
1076,04::004206516878,1.0,15,0.0
1084,04::004236966932,1.0,15,0.0
1087,04::004237306932,1.0,15,0.0
1116,04::004341497063,1.0,15,0.0
1131,04::004449657202,1.0,15,0.0
1161,05::003572045521,1.0,15,0.0
1184,05::003924256368,1.0,15,0.0
1210,05::004353767082,1.0,15,0.0
1216,05::004375257108,1.0,15,0.0
1226,05::004559387385,1.0,15,0.0
1245,07::000026140001,1.0,15,0.0
1268,09::004413277149,1.0,15,0.0
1269,09::004413297149,1.0,15,0.0
23,01::000015280001,1.0,12,0.0
30,01::000017880001,1.0,12,0.0
33,01::000021890001,1.0,12,0.0
39,01::000023430001,1.0,12,0.0
42,01::000023830001,1.0,12,0.0
72,01::000121069598,1.0,12,0.0
101,01::003397375231,1.0,12,0.0
112,01::003425465286,1.0,12,0.0
124,01::003430475290,1.0,12,0.0
133,01::003434025293,1.0,12,0.0
140,01::003446365306,1.0,12,0.0
145,01::003447375306,1.0,12,0.0
146,01::003447565306,1.0,12,0.0
152,01::003453725309,1.0,12,0.0
157,01::003458685315,1.0,12,0.0
170,01::003490105366,1.0,12,0.0
173,01::003490685366,1.0,12,0.0
187,01::003497395374,1.0,12,0.0
211,01::003516345414,1.0,12,0.0
222,01::003535215429,1.0,12,0.0
231,01::003535675429,1.0,12,0.0
238,01::003550035470,1.0,12,0.0
240,01::003550265470,1.0,12,0.0
243,01::003552555472,1.0,12,0.0
304,01::003690385794,1.0,12,0.0
324,01::003730775880,1.0,12,0.0
348,01::003791286075,1.0,12,0.0
385,01::003891776306,1.0,12,0.0
388,01::003892276306,1.0,12,0.0
413,01::003943726429,1.0,12,0.0
426,01::004086236713,1.0,12,0.0
435,01::004096116724,1.0,12,0.0
446,01::004106016731,1.0,12,0.0
462,01::004131856766,1.0,12,0.0
472,01::004147446796,1.0,12,0.0
480,01::004160536811,1.0,12,0.0
486,01::004176356832,1.0,12,0.0
568,01::004457977223,1.0,12,0.0
617,01::004571577407,1.0,12,0.0
635,01::422726691301,1.0,12,0.0
753,02::004154156805,1.0,12,0.0
776,02::004415177150,1.0,12,0.0
777,02::004415237150,1.0,12,0.0
781,02::004427277186,1.0,12,0.0
784,02::004427617186,1.0,12,0.0
806,02::004547767374,1.0,12,0.0
820,03::000010199596,1.0,12,0.0
824,03::000020430001,1.0,12,0.0
845,03::003446675305,1.0,12,0.0
850,03::003473865342,1.0,12,0.0
857,03::003525755417,1.0,12,0.0
864,03::003586445569,1.0,12,0.0
872,03::003681445782,1.0,12,0.0
890,03::003839836184,1.0,12,0.0
906,03::004154806805,1.0,12,0.0
907,03::004154856805,1.0,12,0.0
925,03::004269966972,1.0,12,0.0
936,03::004288517004,1.0,12,0.0
937,03::004312147038,1.0,12,0.0
956,03::004490627261,1.0,12,0.0
977,03::004563277390,1.0,12,0.0
987,03::343119529103,1.0,12,0.0
989,03::376462599703,1.0,12,0.0
998,04::000003139599,1.0,12,0.0
1039,04::003773906016,1.0,12,0.0
1040,04::003773966016,1.0,12,0.0
1052,04::003911006343,1.0,12,0.0
1054,04::004086196713,1.0,12,0.0
1057,04::004101876728,1.0,12,0.0
1068,04::004193726855,1.0,12,0.0
1081,04::004208736881,1.0,12,0.0
1083,04::004236956932,1.0,12,0.0
1091,04::004237946932,1.0,12,0.0
1096,04::004260136960,1.0,12,0.0
1122,04::004402237134,1.0,12,0.0
1136,04::004496167271,1.0,12,0.0
1146,04::004567907400,1.0,12,0.0
1177,05::003869396241,1.0,12,0.0
1178,05::003869456241,1.0,12,0.0
1186,05::003949556446,1.0,12,0.0
1191,05::004191226853,1.0,12,0.0
1199,05::004263196961,1.0,12,0.0
1203,05::004283376991,1.0,12,0.0
1204,05::004283556991,1.0,12,0.0
1227,05::004570997405,1.0,12,0.0
1232,06::000420000106,1.0,12,0.0
1255,08::000037699596,1.0,12,0.0
1267,09::003917936356,1.0,12,0.0
1272,10::003478935350,1.0,12,0.0
1275,10::004402207135,1.0,12,0.0
1296,15::003486035363,1.0,12,0.0
20,01::000013500001,1.0,9,0.0
37,01::000022699598,1.0,9,0.0
47,01::000026950001,1.0,9,0.0
58,01::000053049598,1.0,9,0.0
59,01::000057229596,1.0,9,0.0
98,01::003394885228,1.0,9,0.0
110,01::003421175277,1.0,9,0.0
119,01::003426225286,1.0,9,0.0
122,01::003430365290,1.0,9,0.0
132,01::003433965293,1.0,9,0.0
136,01::003434335293,1.0,9,0.0
138,01::003442475300,1.0,9,0.0
142,01::003446985306,1.0,9,0.0
151,01::003452925308,1.0,9,0.0
165,01::003480415354,1.0,9,0.0
169,01::003489895366,1.0,9,0.0
176,01::003493535369,1.0,9,0.0
182,01::003494085369,1.0,9,0.0
198,01::003502065378,1.0,9,0.0
213,01::003517195415,1.0,9,0.0
216,01::003523195417,1.0,9,0.0
227,01::003535425429,1.0,9,0.0
255,01::003586625569,1.0,9,0.0
292,01::003658155752,1.0,9,0.0
310,01::003698265825,1.0,9,0.0
