fold,recipient_image_path,recipient_species,recipient_group,donor_image_path,donor_species,donor_group,donor_mask_original_area_fraction,donor_foreground_pixels_after_resize,donor_foreground_pixels_outside_recipient_hard_mask,donor_foreground_fraction_of_full_composite,donor_foreground_fraction_of_donor_region,donor_foreground_fraction_alpha_weighted,donor_foreground_fraction_donor_region_alpha_weighted
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05294.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_000035070001_03389.png,3,03::000035070001,0.14950287807430665,563,209,0.05622814097390368,0.06446637877853177,0.057214751839637756,0.0655975416302681
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05295.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_000034699596_04227.png,3,03::000034699596,0.1000848896434635,477,44,0.009249527012823208,0.010523798134417603,0.011361700482666492,0.01292695663869381
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05298.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003898976320_26434.png,2,02::003898976320,0.13039591315453383,867,171,0.025768535262206148,0.02926578812253979,0.02790653146803379,0.0316939502954483
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05303.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_003517575415_09890.png,3,03::003517575415,0.17048794826572605,1122,324,0.049412841238371204,0.05662355819643481,0.05109122022986412,0.05854685977101326
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05305.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_003399575233_23934.png,4,04::003399575233,0.1281592039800995,853,114,0.01716867469879518,0.01962809917355372,0.01973082683980465,0.02255728282034397
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05308.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_004214566890_14647.png,3,03::004214566890,0.1463888888888889,1056,272,0.037694013303769404,0.04299715460006323,0.038816262036561966,0.044277291744947433
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05313.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_004341037063_09496.png,4,04::004341037063,0.14941045606229145,883,237,0.04,0.045850261172373764,0.04107166454195976,0.04707866162061691
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05316.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_07\fish_003445335304_15255.png,7,07::003445335304,0.09611650485436893,550,92,0.01592797783933518,0.018388966620027983,0.015889005735516548,0.0183439739048481
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05320.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_000043999596_04477.png,3,03::000043999596,0.12258737610850287,690,115,0.02101608187134503,0.02448371300830317,0.023202238604426384,0.0270305834710598
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05323.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000020639599_08841.png,4,04::000020639599,0.16206709956709955,914,199,0.03491228070175439,0.04079540795407954,0.03625158593058586,0.042360398918390274
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05326.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_16\fish_000010089594_03481.png,16,16::000010089594,0.11821428571428572,651,87,0.01589041095890411,0.018358303439544206,0.017858296632766724,0.020631814375519753
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05327.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000008279599_08157.png,4,04::000008279599,0.13468599033816425,732,261,0.048585256887565154,0.054375,0.04994148388504982,0.05589284375309944
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05329.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000031070001_03043.png,4,04::000031070001,0.15417840375586855,778,285,0.05636867088607595,0.0628029969149405,0.05786919966340065,0.06447480618953705
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05333.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_003805666105_17017.png,3,03::003805666105,0.12408967585320577,729,156,0.02647208552519939,0.030403430130578835,0.026493752375245094,0.030428314581513405
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05336.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_15\fish_004204236874_20919.png,15,15::004204236874,0.10626614987080103,868,153,0.019325502084122773,0.02206836867157075,0.020578060299158096,0.02349870279431343
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05339.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_000011349596_03928.png,3,03::000011349596,0.14967105263157895,1112,314,0.042966611932129174,0.049675684227179245,0.043907295912504196,0.05076325312256813
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05340.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003483575358_26344.png,2,02::003483575358,0.15439723320158102,1331,394,0.04659964518036665,0.053114046912914534,0.048462968319654465,0.05523785203695297
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05349.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003924426368_23840.png,5,05::003924426368,0.13925221297397278,1182,341,0.04078947368421053,0.046597430992074335,0.04218095913529396,0.048187047243118286
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05357.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_06\fish_000004960001_00662.png,6,06::000004960001,0.1299615877080666,683,98,0.018421052631578946,0.02132288946910357,0.020582202821969986,0.023824481293559074
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05371.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_004657813558_10164.png,3,03::004657813558,0.13210818307905686,438,51,0.015435835351089588,0.01778242677824268,0.02076813578605652,0.023925354704260826
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05373.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003503405380_25723.png,5,05::003503405380,0.15239197530864199,508,117,0.03479036574487065,0.04026152787336545,0.03803570196032524,0.04401722550392151
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05374.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_004432977191_26119.png,2,02::004432977191,0.1386813186813187,525,76,0.020105820105820106,0.023816985271074897,0.02292073518037796,0.027151482179760933
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05376.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_004214466890_14978.png,3,03::004214466890,0.11193293885601578,502,95,0.021167557932263815,0.024973711882229233,0.02201976627111435,0.02597915567457676
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000000589598_05378.png,1,01::000000589598,D:\datasets\Fish4Knowledge\fish_image\fish_09\fish_004094756723_09694.png,9,09::004094756723,0.09562962962962963,467,62,0.01285240464344942,0.015063168124392614,0.013524196110665798,0.01585051603615284
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05360.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_000010199596_03893.png,3,03::000010199596,0.13557628247834777,910,233,0.0346005346005346,0.03963259057662868,0.03593609482049942,0.04116238281130791
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05365.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_004325487039_21206.png,4,04::004325487039,0.10922955040602099,741,59,0.00870720188902007,0.010123541523678793,0.010231207124888897,0.011895446106791496
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05368.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003924446368_16074.png,5,05::003924446368,0.15298507462686567,1177,334,0.042875481386392814,0.049298892988929886,0.04335379600524902,0.04984886571764946
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05370.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003709355845_10055.png,2,02::003709355845,0.12900641025641027,963,148,0.019786096256684493,0.02338811630847029,0.020496128126978874,0.024227406829595566
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05372.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_004237636932_11038.png,4,04::004237636932,0.12798408488063662,988,162,0.02071611253196931,0.0241179097811523,0.021630922332406044,0.02518294006586075
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05375.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_004339327060_26489.png,2,02::004339327060,0.14761363636363636,1101,296,0.04002704530087897,0.04567901234567901,0.04099564999341965,0.04678438976407051
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05377.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_08\fish_000026380001_02587.png,8,08::000026380001,0.11971929824561403,721,146,0.024641350210970463,0.028076923076923076,0.026431303471326828,0.030116437003016472
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05383.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_004515367318_13364.png,5,05::004515367318,0.1550179211469534,684,96,0.021709633649932156,0.02566158781074579,0.02447391115128994,0.02892906591296196
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05385.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_003421115277_20281.png,4,04::003421115277,0.11672932330827068,652,23,0.00414563806777217,0.004965457685664939,0.006232714746147394,0.007465263828635216
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05388.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_08\fish_004314047038_09836.png,8,08::004314047038,0.10271780543561088,812,273,0.03446969696969697,0.03885014942365163,0.034841641783714294,0.03926936164498329
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05392.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_003903666329_10941.png,4,04::003903666329,0.12113692758854049,926,319,0.041455490578297595,0.04702240566037736,0.041734278202056885,0.04733863100409508
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05395.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000016179599_08551.png,4,04::000016179599,0.12217412217412217,908,128,0.017391304347826087,0.020043845912934545,0.018861588090658188,0.021738378331065178
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05396.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_003903796329_13646.png,4,04::003903796329,0.12088815789473684,838,146,0.021270396270396272,0.024670496789455897,0.022617118433117867,0.026232494041323662
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05399.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003956536464_15960.png,5,05::003956536464,0.15375429168532617,1102,247,0.034358047016274866,0.03986442866365397,0.035260915756225586,0.040911994874477386
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05400.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_003871896248_14838.png,3,03::003871896248,0.12071805006587616,941,155,0.01989730423620026,0.02288160614112784,0.020851584151387215,0.02397901378571987
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05401.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_004449917202_23815.png,4,04::004449917202,0.12195652173913044,988,99,0.01213235294117647,0.014138817480719794,0.01294238492846489,0.015082813799381256
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05402.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003542245448_17841.png,2,02::003542245448,0.15923076923076923,1549,370,0.03799938379377632,0.04359608813479439,0.039241474121809006,0.045021120458841324
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05403.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003589025576_18290.png,5,05::003589025576,0.14760302775441547,1339,369,0.04078249336870027,0.046339319352003014,0.0418376550078392,0.04753825441002846
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05404.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003898646320_26440.png,2,02::003898646320,0.13803038239916188,1106,350,0.042682926829268296,0.049060835435940565,0.04322980344295502,0.04968942701816559
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002609598_05409.png,1,01::000002609598,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_003597535595_12436.png,3,03::003597535595,0.14804597701149425,1177,321,0.040286144578313254,0.04564197355324897,0.04168934002518654,0.04723171517252922
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002819598_05334.png,1,01::000002819598,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003631905663_14094.png,5,05::003631905663,0.14325716845878136,396,106,0.03854545454545454,0.04427736006683375,0.040999025106430054,0.04709578678011894
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000002819598_05337.png,1,01::000002819598,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_004210886888_25911.png,2,02::004210886888,0.12515566625155666,287,43,0.018736383442265796,0.022028688524590164,0.020541109144687653,0.024150535464286804
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004270001_00053.png,1,01::000004270001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_004375257108_15921.png,5,05::004375257108,0.14133522727272727,603,53,0.012360074626865671,0.01463684065175366,0.015442064963281155,0.01828654482960701
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004270001_00054.png,1,01::000004270001,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000059159598_06102.png,4,04::000059159598,0.14389140271493212,699,147,0.030934343434343436,0.0362247412518482,0.03262154385447502,0.038200486451387405
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004270001_00055.png,1,01::000004270001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_004262786961_10436.png,5,05::004262786961,0.14239690721649484,699,61,0.012459150326797386,0.01460727969348659,0.016175463795661926,0.018964337185025215
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004270001_00056.png,1,01::000004270001,D:\datasets\Fish4Knowledge\fish_image\fish_15\fish_004204236874_20919.png,15,15::004204236874,0.10626614987080103,563,57,0.010869565217391304,0.012675116744496331,0.012280496768653393,0.014320419169962406
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004270001_00057.png,1,01::000004270001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_003809566114_22506.png,3,03::003809566114,0.15103640040444893,929,186,0.029922779922779922,0.034323675954973244,0.03184197098016739,0.03652513027191162
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004270001_00058.png,1,01::000004270001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_000043999596_04473.png,3,03::000043999596,0.1396735718769617,854,180,0.029354207436399216,0.033657442034405384,0.030796516686677933,0.03531118854880333
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004270001_00059.png,1,01::000004270001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_003445255304_15478.png,3,03::003445255304,0.1191987513007284,751,68,0.01088348271446863,0.012479354009910076,0.014345293864607811,0.01644877903163433
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004270001_00061.png,1,01::000004270001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_004269336972_14633.png,3,03::004269336972,0.13551779935275082,846,154,0.02464788732394366,0.028251696936341955,0.026206549257040024,0.03003825433552265
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004290001_00067.png,1,01::000004290001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003903446328_13594.png,5,05::003903446328,0.12513185654008438,564,128,0.02821869488536155,0.03303225806451613,0.029247572645545006,0.034236643463373184
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004290001_00068.png,1,01::000004290001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_003776166025_16902.png,3,03::003776166025,0.12110562310030396,659,107,0.019669117647058823,0.02273210112598258,0.021529702469706535,0.024882426485419273
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004290001_00069.png,1,01::000004290001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_000048789596_04536.png,3,03::000048789596,0.11864406779661017,675,163,0.029963235294117648,0.034629275547057574,0.030859824270009995,0.03566548600792885
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004290001_00070.png,1,01::000004290001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003435335294_26183.png,5,05::003435335294,0.14559859154929577,827,120,0.021739130434782608,0.02524190155658393,0.02491786703467369,0.02893282100558281
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004290001_00071.png,1,01::000004290001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_004503367286_14864.png,3,03::004503367286,0.15014492753623188,856,192,0.03471971066907776,0.04009187721862602,0.0363391637802124,0.0419619046151638
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004290001_00072.png,1,01::000004290001,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_000071319596_04921.png,2,02::000071319596,0.13023648648648647,609,81,0.01730769230769231,0.020204539785482666,0.019521964713931084,0.022789422422647476
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004290001_00073.png,1,01::000004290001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_004515587318_25060.png,5,05::004515587318,0.1472787081339713,675,133,0.02798821548821549,0.03263002944062807,0.0303514264523983,0.03538517653942108
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004290001_00074.png,1,01::000004290001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_004262726961_13384.png,5,05::004262726961,0.16625,800,180,0.03731343283582089,0.04359409057883265,0.039851654320955276,0.04655954986810684
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004290001_00075.png,1,01::000004290001,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003709355845_22310.png,2,02::003709355845,0.13607859531772576,657,73,0.015132669983416253,0.017658442186744075,0.018883245065808296,0.0220350194722414
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004320001_00091.png,1,01::000004320001,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000061579598_06182.png,4,04::000061579598,0.11639954670552048,977,50,0.0059865900383141765,0.006958942240779402,0.007614194415509701,0.008850905112922192
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004320001_00092.png,1,01::000004320001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_003620485639_14678.png,3,03::003620485639,0.1382001040402289,1245,303,0.03363303363303363,0.03898108838286376,0.034396618604660034,0.039866093546152115
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004320001_00093.png,1,01::000004320001,D:\datasets\Fish4Knowledge\fish_image\fish_16\fish_000014979594_03601.png,16,16::000014979594,0.0934156378600823,981,126,0.012016021361815754,0.0137765143232014,0.012757360003888607,0.014626468531787395
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004320001_00094.png,1,01::000004320001,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003798426092_25958.png,2,02::003798426092,0.13680340557275542,1438,318,0.030326149151249284,0.03479212253829322,0.030588800087571144,0.03509345278143883
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004320001_00095.png,1,01::000004320001,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_003422015277_23705.png,4,04::003422015277,0.11590608465608465,907,118,0.015269151138716356,0.017990547339533466,0.01663675531744957,0.01960189826786518
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004320001_00096.png,1,01::000004320001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_000030819596_04138.png,3,03::000030819596,0.13757396449704143,926,210,0.031399521531100476,0.03798842257597684,0.03172667324542999,0.038384225219488144
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004330001_00097.png,1,01::000004330001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_003446935305_14689.png,3,03::003446935305,0.14682539682539683,4976,934,0.02738681679568379,0.03197097282125008,0.027645310387015343,0.03227273374795914
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004330001_00098.png,1,01::000004330001,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_004449647202_13641.png,4,04::004449647202,0.1457122093023256,5047,1089,0.031450355224397854,0.03621068032187271,0.031725991517305374,0.03652803599834442
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004330001_00099.png,1,01::000004330001,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_004563287390_09843.png,2,02::004563287390,0.11850386621111311,2454,139,0.006719195630105863,0.008543331284572834,0.007084149867296219,0.009007553569972515
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004330001_00100.png,1,01::000004330001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_004263386961_22344.png,5,05::004263386961,0.1442455242966752,2947,428,0.020995830267353445,0.026795216928566956,0.02128877490758896,0.027172241359949112
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004330001_00101.png,1,01::000004330001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_003481675355_24236.png,5,05::003481675355,0.14576802507836992,2979,470,0.02307541241162608,0.029345654345654344,0.02308434247970581,0.02936047688126564
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004330001_00102.png,1,01::000004330001,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000124679598_07111.png,4,04::000124679598,0.130859375,2765,126,0.0059535059535059534,0.007544458415663733,0.0061583444476127625,0.0078040361404418945
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004330001_00103.png,1,01::000004330001,D:\datasets\Fish4Knowledge\fish_image\fish_02\fish_003725295873_14697.png,2,02::003725295873,0.11682926829268293,3374,113,0.003913419913419913,0.004676571617762695,0.004169515799731016,0.004982608836144209
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004330001_00104.png,1,01::000004330001,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_004204746876_21777.png,4,04::004204746876,0.11807077983088005,3823,787,0.024197515680728077,0.02847528764744193,0.02438845857977867,0.02869998663663864
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00105.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_004154806805_26046.png,3,03::004154806805,0.13570991432068544,2330,641,0.03709490740740741,0.04205760776851913,0.03758269548416138,0.04261065274477005
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00106.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_03\fish_004543277366_17931.png,3,03::004543277366,0.15387387387387388,2734,1129,0.06322804659498207,0.07072605399987471,0.06359678506851196,0.07113852351903915
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00107.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_05\fish_004283316991_14230.png,5,05::004283316991,0.17045855379188712,3011,1190,0.06718608852755194,0.07595098289507277,0.06766676157712936,0.07649436593055725
1,D:\datasets\Fish4Knowledge\fish_image\fish_01\fish_000004340001_00108.png,1,01::000004340001,D:\datasets\Fish4Knowledge\fish_image\fish_04\fish_000063299598_06191.png,4,04::000063299598,0.11458878994237821,2216,818,0.0421910460078399,0.0474147924878275,0.04240249842405319,0.04765242338180542
