donor_realization,donor_seed,fold,model_seed,method,cross_composite_macro_f1
primary_3407,3407,1,3407,F0,0.5614868663435257
primary_3407,3407,1,3407,F1,0.6287750383657325
primary_3407,3407,1,2026,F0,0.5432677958150259
primary_3407,3407,1,2026,F1,0.6239039227698087
primary_3407,3407,1,17,F0,0.543555428755374
primary_3407,3407,1,17,F1,0.633885237474454
primary_3407,3407,2,3407,F0,0.4954150691346618
primary_3407,3407,2,3407,F1,0.6312913666451446
primary_3407,3407,2,2026,F0,0.5146365058507982
primary_3407,3407,2,2026,F1,0.5581031594129373
primary_3407,3407,2,17,F0,0.5098669106690734
primary_3407,3407,2,17,F1,0.5887320489078521
primary_3407,3407,3,3407,F0,0.4974428626044991
primary_3407,3407,3,3407,F1,0.5639963788077642
primary_3407,3407,3,2026,F0,0.4886248585631771
primary_3407,3407,3,2026,F1,0.5883402835394254
primary_3407,3407,3,17,F0,0.5161035888951178
primary_3407,3407,3,17,F1,0.5046079009065989
sensitivity_4101,4101,1,3407,F0,0.5519924712821596
sensitivity_4101,4101,1,3407,F1,0.6466875790966575
sensitivity_4101,4101,1,2026,F0,0.5454528499326444
sensitivity_4101,4101,1,2026,F1,0.6404240587754413
sensitivity_4101,4101,1,17,F0,0.5380762935756795
sensitivity_4101,4101,1,17,F1,0.6481017648721401
sensitivity_4101,4101,2,3407,F0,0.5106515218237522
sensitivity_4101,4101,2,3407,F1,0.6593316916667941
sensitivity_4101,4101,2,2026,F0,0.516092068492436
sensitivity_4101,4101,2,2026,F1,0.5628661283472792
sensitivity_4101,4101,2,17,F0,0.5067947424750975
sensitivity_4101,4101,2,17,F1,0.5790546224503118
sensitivity_4101,4101,3,3407,F0,0.4865370382738185
sensitivity_4101,4101,3,3407,F1,0.549404893100657
sensitivity_4101,4101,3,2026,F0,0.4690801885330874
sensitivity_4101,4101,3,2026,F1,0.5608593992183387
sensitivity_4101,4101,3,17,F0,0.5083783913781521
sensitivity_4101,4101,3,17,F1,0.5065776958704393
sensitivity_4102,4102,1,3407,F0,0.5428640484501109
sensitivity_4102,4102,1,3407,F1,0.6362989393744974
sensitivity_4102,4102,1,2026,F0,0.5305862856443546
sensitivity_4102,4102,1,2026,F1,0.6611880970464611
sensitivity_4102,4102,1,17,F0,0.5251359143214829
sensitivity_4102,4102,1,17,F1,0.6322012375961015
sensitivity_4102,4102,2,3407,F0,0.509771570991956
sensitivity_4102,4102,2,3407,F1,0.658394800335915
sensitivity_4102,4102,2,2026,F0,0.5197997858580142
sensitivity_4102,4102,2,2026,F1,0.5898861894628002
sensitivity_4102,4102,2,17,F0,0.5303605723129479
sensitivity_4102,4102,2,17,F1,0.6302818245895738
sensitivity_4102,4102,3,3407,F0,0.48789324130244816
sensitivity_4102,4102,3,3407,F1,0.5460271900108205
sensitivity_4102,4102,3,2026,F0,0.4716609842455123
sensitivity_4102,4102,3,2026,F1,0.5813950701593088
sensitivity_4102,4102,3,17,F0,0.5131018623550383
sensitivity_4102,4102,3,17,F1,0.49108555220679845
sensitivity_4103,4103,1,3407,F0,0.5354550530622482
sensitivity_4103,4103,1,3407,F1,0.6337372980940781
sensitivity_4103,4103,1,2026,F0,0.5443589876175401
sensitivity_4103,4103,1,2026,F1,0.6439378115161093
sensitivity_4103,4103,1,17,F0,0.5337244868881932
sensitivity_4103,4103,1,17,F1,0.6345738374969496
sensitivity_4103,4103,2,3407,F0,0.49212266032373586
sensitivity_4103,4103,2,3407,F1,0.6359439932096503
sensitivity_4103,4103,2,2026,F0,0.5016328091313853
sensitivity_4103,4103,2,2026,F1,0.5526826701206727
sensitivity_4103,4103,2,17,F0,0.49370540760792064
sensitivity_4103,4103,2,17,F1,0.5882130785452325
sensitivity_4103,4103,3,3407,F0,0.49760677524536007
sensitivity_4103,4103,3,3407,F1,0.5580798049534215
sensitivity_4103,4103,3,2026,F0,0.48698048888190903
sensitivity_4103,4103,3,2026,F1,0.5881204347733165
sensitivity_4103,4103,3,17,F0,0.5148377341925615
sensitivity_4103,4103,3,17,F1,0.525211456930051
sensitivity_4104,4104,1,3407,F0,0.5476160129206251
sensitivity_4104,4104,1,3407,F1,0.6304741712578698
sensitivity_4104,4104,1,2026,F0,0.5217427401493855
sensitivity_4104,4104,1,2026,F1,0.6557475347836275
sensitivity_4104,4104,1,17,F0,0.5259732221225317
sensitivity_4104,4104,1,17,F1,0.6264805327942541
sensitivity_4104,4104,2,3407,F0,0.5047953543173402
sensitivity_4104,4104,2,3407,F1,0.6373170937503878
sensitivity_4104,4104,2,2026,F0,0.525311266478667
sensitivity_4104,4104,2,2026,F1,0.5700755960673923
sensitivity_4104,4104,2,17,F0,0.5110336975753144
sensitivity_4104,4104,2,17,F1,0.5835095018596386
sensitivity_4104,4104,3,3407,F0,0.5005974640846538
sensitivity_4104,4104,3,3407,F1,0.5628572379658632
sensitivity_4104,4104,3,2026,F0,0.4862465849635193
sensitivity_4104,4104,3,2026,F1,0.5867658722227649
sensitivity_4104,4104,3,17,F0,0.5274738236221816
sensitivity_4104,4104,3,17,F1,0.5160681099705337
sensitivity_4105,4105,1,3407,F0,0.5418179139373056
sensitivity_4105,4105,1,3407,F1,0.62774576693214
sensitivity_4105,4105,1,2026,F0,0.5260623153131647
sensitivity_4105,4105,1,2026,F1,0.6366314545339313
sensitivity_4105,4105,1,17,F0,0.536351037346751
sensitivity_4105,4105,1,17,F1,0.6494997877600049
sensitivity_4105,4105,2,3407,F0,0.493142575695233
sensitivity_4105,4105,2,3407,F1,0.6420592475195084
sensitivity_4105,4105,2,2026,F0,0.5243388302794807
sensitivity_4105,4105,2,2026,F1,0.5473379754958985
sensitivity_4105,4105,2,17,F0,0.5111790708723165
sensitivity_4105,4105,2,17,F1,0.585991608207018
sensitivity_4105,4105,3,3407,F0,0.5004498605072969
sensitivity_4105,4105,3,3407,F1,0.5625431611626102
sensitivity_4105,4105,3,2026,F0,0.4953835900780693
sensitivity_4105,4105,3,2026,F1,0.5814542286148459
sensitivity_4105,4105,3,17,F0,0.5151081156702807
sensitivity_4105,4105,3,17,F1,0.5075257825369921
