donor_species,n_recipients,unique_donor_images,unique_donor_groups,f0_correct,cxt_correct,effect,fraction_of_all_cross_composites
1,22644,5567,2716,0.7245186362833421,0.7685037979155627,0.04398516163222046,0.2781852356908562
10,1251,214,49,0.7482014388489209,0.8529176658673061,0.10471622701838529,0.015368739173699922
11,417,76,31,0.8633093525179856,0.9112709832134293,0.047961630695443645,0.0051229130578999745
12,624,106,22,0.8701923076923077,0.8862179487179487,0.016025641025641024,0.007665941842037371
13,810,144,27,0.6814814814814815,0.6604938271604939,-0.020987654320987655,0.009950982198798511
14,303,64,22,0.9042904290429042,0.9240924092409241,0.019801980198019802,0.0037224044521431466
15,183,34,16,0.9617486338797814,0.9617486338797814,0.0,0.0022481848671359597
16,846,149,15,0.7955082742316785,0.8983451536643026,0.10283687943262411,0.010393248074300667
2,10890,2000,1022,0.832415059687787,0.8779614325068871,0.045546372819100095,0.1337854273394022
3,13899,2613,1021,0.7792646953018203,0.8425786027771782,0.06331390747535794,0.17075148343345742
4,15225,2905,880,0.4949096880131363,0.5677504105090312,0.0728407224958949,0.18704160984778684
5,9561,1842,473,0.6722100198723983,0.6755569501098212,0.0033469302374228636,0.1174584454354476
6,846,144,59,0.8877068557919622,0.9208037825059102,0.03309692671394799,0.010393248074300667
7,1860,335,64,0.8811827956989248,0.9112903225806451,0.030107526881720432,0.022850403567611397
8,951,160,63,0.8769716088328076,0.9064143007360673,0.029442691903259727,0.011683190211181955
9,1089,189,51,0.9026629935720845,0.9044995408631772,0.0018365472910927456,0.01337854273394022
