model,row_type,fold,method,seed,original_macro_f1,original_tail_f1,foreground_macro_f1,foreground_tail_f1,same_swap_macro_f1,same_swap_tail_f1,cross_swap_macro_f1,cross_swap_tail_f1,dar_flip,prediction_agreement
ResNet18,cell,1,F0,17,0.9471698018220585,0.8996624693679391,0.8718945358773234,0.7103487555351962,0.92640951672419,0.8680521429755702,0.543555428755374,0.4719331368633314,0.21269987346140573,0.72765617875057
ResNet18,cell,1,F0,2026,0.9483889292549177,0.9003061062648692,0.8266246784482334,0.6335023041474654,0.9071067372309972,0.8356032535091409,0.5432677958150259,0.42604886788373025,0.18021649009672963,0.760373917008664
ResNet18,cell,1,F0,3407,0.9533698041867997,0.9123550453341724,0.8165430412494659,0.5756140350877194,0.9141156379230443,0.8109556170043974,0.5614868663435257,0.5054397089527333,0.22783647220946257,0.7261741906064751
ResNet18,cell,1,F1,17,0.9580793845467769,0.9205156221512187,0.958360255900242,0.922025879555356,0.9380206500089169,0.8834873134587852,0.633885237474454,0.49542689020688363,0.1644653726886413,0.7900136798905609
ResNet18,cell,1,F1,2026,0.9590415164622809,0.9514469952489755,0.9580330573921754,0.947780437614054,0.9377802840239445,0.895074183357963,0.6239039227698087,0.5025473181641567,0.17273876565911964,0.7659598723210215
ResNet18,cell,1,F1,3407,0.9585770951416963,0.942294937766636,0.9539813197524705,0.9292760004792715,0.9224017571205549,0.8685704890617586,0.6287750383657325,0.5726313158974877,0.16741302101274544,0.7721158230734154
ResNet18,cell,2,F0,17,0.9619694709094759,0.9216857845835683,0.8300766157636907,0.6349614731618127,0.9050319260463063,0.8407768460324828,0.5098669106690734,0.3634456012182969,0.21390949156186176,0.707475738509118
ResNet18,cell,2,F0,2026,0.9531296733066117,0.9131909572743412,0.8489502181923574,0.659684723858925,0.917928356932096,0.8709804872528574,0.5146365058507982,0.36195394781353596,0.22034445640473627,0.6994774448117735
ResNet18,cell,2,F0,3407,0.9665260323217999,0.9464532108234535,0.8190361909928177,0.637915230892324,0.9211727825909126,0.8656899281451711,0.4954150691346618,0.3253395284562168,0.22882359272414166,0.6917990828623227
ResNet18,cell,2,F1,17,0.9661440131504991,0.9364874093043107,0.9590171698946772,0.9279698474711644,0.9344448796239659,0.9050945482174096,0.5887320489078521,0.46448570170485814,0.20541178997100826,0.7348832249120187
ResNet18,cell,2,F1,2026,0.9670235002850117,0.9260622094049331,0.9598598443605186,0.916979220125069,0.9418293714164876,0.9010632364493322,0.5581031594129373,0.42184255831314654,0.18899495870427974,0.7597312573317693
ResNet18,cell,2,F1,3407,0.9622696277081919,0.9268339709062579,0.9653040233572956,0.9368717948717948,0.9360774630030501,0.9307078088152256,0.6312913666451446,0.489397053785543,0.16444539982803094,0.7732750346592727
ResNet18,cell,3,F0,17,0.9558302802916822,0.9181590180036153,0.7984180648070488,0.7028566178492516,0.9335227415388143,0.8845692922851194,0.5161035888951178,0.5066979265140791,0.20509940469504662,0.7264024933214603
ResNet18,cell,3,F0,2026,0.9593460479132772,0.9368223803984815,0.8275248782867572,0.78950473255558,0.9265055922251508,0.8809198741192436,0.4886248585631771,0.5248062457176126,0.20737999102736654,0.6962377560106857
ResNet18,cell,3,F0,3407,0.9737566869881759,0.9613807245386192,0.8585243526365511,0.7944410286439272,0.9547492029054083,0.9177329849446311,0.4974428626044991,0.4829287595100755,0.23504369258346403,0.6979073909171861
ResNet18,cell,3,F1,17,0.912146215558085,0.8866252472346348,0.9373531126854795,0.8949875466998755,0.8523019161917261,0.7210311265001688,0.5046079009065989,0.4551147262094631,0.17070695681587553,0.7477738201246661
ResNet18,cell,3,F1,2026,0.9391658531851024,0.8876922620251012,0.9370632450256116,0.8764407046985578,0.9466219699308667,0.8956372306372307,0.5883402835394254,0.539395263052174,0.17323896191439164,0.7743766696349065
ResNet18,cell,3,F1,3407,0.977969687565452,0.955875399805312,0.9660780723491695,0.929121601413339,0.9528372919190153,0.9158888888888889,0.5639963788077642,0.5894580759046779,0.20561584069806466,0.7374220837043634
MobileNetV3-Large,cell,1,MV0,3407,0.9483359753925563,0.9072715469768428,0.8047221887310222,0.5651522603173721,0.9132528912479096,0.8647343764750307,0.5630298614997147,0.5157762338598675,0.20680147058823528,0.7278841769265846
MobileNetV3-Large,cell,1,MV1,3407,0.8751542641129054,0.7138943875966328,0.8516680579986916,0.6486845275583379,0.8369478530708666,0.6710240484153528,0.541974341267252,0.36305092154148755,0.1523018345448252,0.77234382124943
MobileNetV3-Large,cell,2,MV0,3407,0.9430151605951826,0.87521565701479,0.8105314153075969,0.61350610819925,0.9191438829037826,0.8208734914617267,0.5174602700497692,0.30242513866215925,0.1811320754716981,0.7403220646262131
MobileNetV3-Large,cell,2,MV1,3407,0.9405547508553831,0.8727415851217314,0.9404167428416077,0.8868799279388233,0.8934178134830949,0.7889061148866015,0.5929713815542126,0.3921067990143839,0.15790609821910415,0.7779673669617149
MobileNetV3-Large,cell,3,MV0,3407,0.9826762805394282,0.974469489175797,0.8373654084568947,0.7918622228818638,0.9484219814264188,0.9071105527931295,0.47145384731716544,0.46135217174581894,0.26392305971818386,0.6585040071237755
MobileNetV3-Large,cell,3,MV1,3407,0.9701055383160913,0.9429949318822674,0.9672669811824522,0.9295351053690564,0.9278014464423884,0.8509043786644959,0.5617098520949002,0.43422824498034923,0.19986533497923914,0.7271816562778273
ResNet18,mean,mean,F0,all,0.9577207474438665,0.9233350773987845,0.8330658418060274,0.6820921001924669,0.9229491660129912,0.8639200473631793,0.518933320736806,0.44095485810329016,0.2145948294182461,0.7148337991998062
ResNet18,mean,mean,F1,all,0.9556018770670107,0.9259815615385977,0.9550055667464044,0.9201614481031647,0.9291461759153921,0.8796172028207513,0.5912928152033019,0.5033665448042657,0.17922567414357302,0.7617279406279994
MobileNetV3-Large,mean,mean,MV0,all,0.9580091388423891,0.9189855643891433,0.817539670831838,0.6568401971328286,0.9269395851927037,0.864239473576629,0.5173146596222165,0.4265178480892819,0.21728553525937241,0.7089034162255244
MobileNetV3-Large,mean,mean,MV1,all,0.9286048510947932,0.8432103015335439,0.9197839273409172,0.8216998536220727,0.8860557043321166,0.7702781806554834,0.565551858305455,0.39646198851207354,0.17002442258105618,0.7591642814963241
