fold,seed,method,view,group_balanced_accuracy,species_group_balanced_accuracy,n_images,n_groups,n_species,official_test_accessed
1,17,F0,cross_swap,0.7017289293410708,0.5383794229268339,8772,2894,16,False
1,17,F1,cross_swap,0.7658395373791976,0.5862548025757345,8772,2894,16,False
1,2026,F0,cross_swap,0.7528683259585127,0.5243016049854172,8772,2894,16,False
1,2026,F1,cross_swap,0.7394017993267438,0.6185923283183461,8772,2894,16,False
1,3407,F0,cross_swap,0.7004859001001212,0.5588228384136451,8772,2894,16,False
1,3407,F1,cross_swap,0.7531471253721685,0.6416629173963463,8772,2894,16,False
2,17,F0,cross_swap,0.6859579782225982,0.5086592924238744,9377,2893,16,False
2,17,F1,cross_swap,0.7123079061438249,0.6007174637719266,9377,2893,16,False
2,2026,F0,cross_swap,0.6638580255203893,0.516844789525066,9377,2893,16,False
2,2026,F1,cross_swap,0.7403146556405266,0.5580104870446372,9377,2893,16,False
2,3407,F0,cross_swap,0.6697690787377668,0.5167756435509062,9377,2893,16,False
2,3407,F1,cross_swap,0.7484854230938761,0.6147071551109966,9377,2893,16,False
3,17,F0,cross_swap,0.7272879646710296,0.5199998300395,8984,2893,16,False
3,17,F1,cross_swap,0.7382616851950136,0.5779383481349845,8984,2893,16,False
3,2026,F0,cross_swap,0.6942316897960997,0.5201735430333025,8984,2893,16,False
3,2026,F1,cross_swap,0.7575543490205292,0.5847234771360151,8984,2893,16,False
3,3407,F0,cross_swap,0.6849263841675897,0.5400184619453205,8984,2893,16,False
3,3407,F1,cross_swap,0.7280120023509677,0.566920544320784,8984,2893,16,False
