species_id,images,tracks,dataset_scope,split,frozen_16
1,12112,4240,gate0_metadata,all,True
10,299,53,gate0_metadata,all,True
11,98,42,gate0_metadata,all,True
12,147,28,gate0_metadata,all,True
13,181,27,gate0_metadata,all,True
14,90,23,gate0_metadata,all,True
15,42,16,gate0_metadata,all,True
16,206,15,gate0_metadata,all,True
17,49,8,gate0_metadata,all,False
18,56,5,gate0_metadata,all,False
19,29,6,gate0_metadata,all,False
2,2683,1225,gate0_metadata,all,True
20,21,6,gate0_metadata,all,False
21,16,8,gate0_metadata,all,False
22,41,6,gate0_metadata,all,False
23,25,6,gate0_metadata,all,False
3,3593,1175,gate0_metadata,all,True
4,4049,1021,gate0_metadata,all,True
5,2534,536,gate0_metadata,all,True
6,190,79,gate0_metadata,all,True
7,450,71,gate0_metadata,all,True
8,218,71,gate0_metadata,all,True
9,241,58,gate0_metadata,all,True
1,2007,636,frozen_16_split,test,True
10,41,8,frozen_16_split,test,True
11,10,6,frozen_16_split,test,True
12,21,4,frozen_16_split,test,True
13,70,4,frozen_16_split,test,True
14,4,3,frozen_16_split,test,True
15,11,3,frozen_16_split,test,True
16,35,3,frozen_16_split,test,True
2,431,184,frozen_16_split,test,True
3,532,177,frozen_16_split,test,True
4,631,153,frozen_16_split,test,True
5,372,80,frozen_16_split,test,True
6,28,12,frozen_16_split,test,True
7,57,11,frozen_16_split,test,True
8,42,10,frozen_16_split,test,True
9,36,8,frozen_16_split,test,True
1,8297,2968,frozen_16_split,train,True
10,225,37,frozen_16_split,train,True
11,67,29,frozen_16_split,train,True
12,116,20,frozen_16_split,train,True
13,102,19,frozen_16_split,train,True
14,72,16,frozen_16_split,train,True
15,26,11,frozen_16_split,train,True
16,128,10,frozen_16_split,train,True
2,1872,858,frozen_16_split,train,True
3,2509,822,frozen_16_split,train,True
4,2690,715,frozen_16_split,train,True
5,1804,375,frozen_16_split,train,True
6,132,55,frozen_16_split,train,True
7,328,50,frozen_16_split,train,True
8,148,50,frozen_16_split,train,True
9,165,41,frozen_16_split,train,True
1,1808,636,frozen_16_split,val,True
10,33,8,frozen_16_split,val,True
11,21,7,frozen_16_split,val,True
12,10,4,frozen_16_split,val,True
13,9,4,frozen_16_split,val,True
14,14,4,frozen_16_split,val,True
15,5,2,frozen_16_split,val,True
16,43,2,frozen_16_split,val,True
2,380,183,frozen_16_split,val,True
3,552,176,frozen_16_split,val,True
4,728,153,frozen_16_split,val,True
5,358,81,frozen_16_split,val,True
6,30,12,frozen_16_split,val,True
7,65,10,frozen_16_split,val,True
8,28,11,frozen_16_split,val,True
9,40,9,frozen_16_split,val,True
