fold,species_id,n_images,n_recorded_groups,official_test_accessed
1,1,4117,1414,False
1,10,96,17,False
1,11,33,14,False
1,12,51,10,False
1,13,52,9,False
1,14,13,7,False
1,15,20,6,False
1,16,54,5,False
1,2,890,408,False
1,3,1142,392,False
1,4,1192,340,False
1,5,791,179,False
1,6,40,26,False
1,7,105,24,False
1,8,66,23,False
1,9,110,20,False
2,1,4045,1413,False
2,10,128,18,False
2,11,28,14,False
2,12,73,9,False
2,13,84,9,False
2,14,40,8,False
2,15,12,5,False
2,16,120,5,False
2,2,882,409,False
2,3,1260,391,False
2,4,1472,341,False
2,5,914,178,False
2,6,84,27,False
2,7,102,23,False
2,8,68,24,False
2,9,65,19,False
3,1,3950,1413,False
3,10,75,18,False
3,11,37,14,False
3,12,23,9,False
3,13,45,9,False
3,14,37,8,False
3,15,10,5,False
3,16,32,5,False
3,2,911,408,False
3,3,1191,392,False
3,4,1385,340,False
3,5,829,179,False
3,6,66,26,False
3,7,243,24,False
3,8,84,24,False
3,9,66,19,False
