group_id,C0,C1,C2,seed,c1_minus_c0,c2_minus_c1
01::000004220001,1.0,1.0,1.0,3407,0.0,0.0
01::000004250001,1.0,1.0,1.0,3407,0.0,0.0
01::000004430001,1.0,1.0,1.0,3407,0.0,0.0
01::000004490001,1.0,1.0,1.0,3407,0.0,0.0
01::000004580001,1.0,1.0,1.0,3407,0.0,0.0
01::000004680001,1.0,1.0,1.0,3407,0.0,0.0
01::000006069598,1.0,1.0,1.0,3407,0.0,0.0
01::000006389597,1.0,1.0,1.0,3407,0.0,0.0
01::000006940001,1.0,1.0,1.0,3407,0.0,0.0
01::000007020001,1.0,1.0,1.0,3407,0.0,0.0
01::000007140001,1.0,1.0,1.0,3407,0.0,0.0
01::000007190001,1.0,1.0,1.0,3407,0.0,0.0
01::000007240001,1.0,1.0,1.0,3407,0.0,0.0
01::000007450001,1.0,1.0,1.0,3407,0.0,0.0
01::000010309598,1.0,1.0,1.0,3407,0.0,0.0
01::000011280001,1.0,1.0,1.0,3407,0.0,0.0
01::000013650001,1.0,1.0,1.0,3407,0.0,0.0
01::000015009597,0.2,0.4,0.8,3407,0.2,0.4
01::000016229598,1.0,1.0,1.0,3407,0.0,0.0
01::000017830001,1.0,1.0,1.0,3407,0.0,0.0
01::000018049597,0.0,0.0,0.0,3407,0.0,0.0
01::000019399597,0.0,0.0,0.0,3407,0.0,0.0
01::000019460001,1.0,1.0,1.0,3407,0.0,0.0
01::000021940001,1.0,1.0,1.0,3407,0.0,0.0
01::000022110001,1.0,1.0,1.0,3407,0.0,0.0
01::000022140001,1.0,1.0,1.0,3407,0.0,0.0
01::000023080001,1.0,1.0,1.0,3407,0.0,0.0
01::000023170001,1.0,1.0,1.0,3407,0.0,0.0
01::000023460001,1.0,1.0,1.0,3407,0.0,0.0
01::000023540001,1.0,1.0,1.0,3407,0.0,0.0
01::000023550001,1.0,1.0,1.0,3407,0.0,0.0
01::000023790001,1.0,1.0,1.0,3407,0.0,0.0
01::000024089596,1.0,1.0,1.0,3407,0.0,0.0
01::000024629596,1.0,1.0,1.0,3407,0.0,0.0
01::000026040001,1.0,1.0,1.0,3407,0.0,0.0
01::000026060001,1.0,1.0,1.0,3407,0.0,0.0
01::000026770001,0.5,0.5,1.0,3407,0.0,0.5
01::000027090001,1.0,1.0,0.8,3407,0.0,-0.19999999999999996
01::000027150001,1.0,1.0,1.0,3407,0.0,0.0
01::000027270001,1.0,1.0,1.0,3407,0.0,0.0
01::000036659598,1.0,1.0,1.0,3407,0.0,0.0
01::000049189596,1.0,0.0,1.0,3407,-1.0,1.0
01::000060649598,1.0,1.0,1.0,3407,0.0,0.0
01::000069349598,1.0,0.8064516129032258,1.0,3407,-0.19354838709677424,0.19354838709677424
01::000076939598,1.0,1.0,1.0,3407,0.0,0.0
01::000078379598,1.0,1.0,1.0,3407,0.0,0.0
01::000081289598,1.0,1.0,1.0,3407,0.0,0.0
01::000081569598,1.0,1.0,1.0,3407,0.0,0.0
01::000091699598,1.0,1.0,1.0,3407,0.0,0.0
01::000093829598,1.0,1.0,1.0,3407,0.0,0.0
01::000099029598,1.0,1.0,1.0,3407,0.0,0.0
01::000100979598,1.0,1.0,1.0,3407,0.0,0.0
01::000103059598,1.0,1.0,1.0,3407,0.0,0.0
01::000107559598,1.0,1.0,1.0,3407,0.0,0.0
01::000107669598,1.0,1.0,1.0,3407,0.0,0.0
01::000128789598,1.0,1.0,1.0,3407,0.0,0.0
01::000137839598,1.0,1.0,1.0,3407,0.0,0.0
01::000141599598,1.0,1.0,1.0,3407,0.0,0.0
01::000146689598,1.0,1.0,1.0,3407,0.0,0.0
01::000148389598,1.0,1.0,1.0,3407,0.0,0.0
01::000156749598,1.0,1.0,1.0,3407,0.0,0.0
01::000159109598,1.0,1.0,1.0,3407,0.0,0.0
01::000166779598,1.0,1.0,1.0,3407,0.0,0.0
01::002626000101,1.0,1.0,1.0,3407,0.0,0.0
01::003379535208,1.0,1.0,1.0,3407,0.0,0.0
01::003384205218,1.0,1.0,1.0,3407,0.0,0.0
01::003387745222,1.0,1.0,1.0,3407,0.0,0.0
01::003387765222,1.0,1.0,1.0,3407,0.0,0.0
01::003391715225,1.0,1.0,1.0,3407,0.0,0.0
01::003391755225,1.0,1.0,1.0,3407,0.0,0.0
01::003398295232,1.0,1.0,1.0,3407,0.0,0.0
01::003398395232,1.0,1.0,1.0,3407,0.0,0.0
01::003398825232,1.0,1.0,1.0,3407,0.0,0.0
01::003399365233,1.0,1.0,1.0,3407,0.0,0.0
01::003405415240,1.0,1.0,1.0,3407,0.0,0.0
01::003405815240,1.0,1.0,1.0,3407,0.0,0.0
01::003416895270,1.0,1.0,1.0,3407,0.0,0.0
01::003417075270,1.0,1.0,1.0,3407,0.0,0.0
01::003419365275,1.0,1.0,1.0,3407,0.0,0.0
01::003419375275,1.0,1.0,1.0,3407,0.0,0.0
01::003419715275,1.0,1.0,1.0,3407,0.0,0.0
01::003421335277,1.0,1.0,1.0,3407,0.0,0.0
01::003421375277,1.0,1.0,1.0,3407,0.0,0.0
01::003422035277,1.0,1.0,1.0,3407,0.0,0.0
01::003425455286,1.0,1.0,1.0,3407,0.0,0.0
01::003425595286,1.0,1.0,1.0,3407,0.0,0.0
01::003425675286,1.0,1.0,1.0,3407,0.0,0.0
01::003425725286,1.0,1.0,1.0,3407,0.0,0.0
01::003425975286,1.0,1.0,1.0,3407,0.0,0.0
01::003426085286,1.0,1.0,1.0,3407,0.0,0.0
01::003426215286,1.0,1.0,1.0,3407,0.0,0.0
01::003426255286,1.0,1.0,1.0,3407,0.0,0.0
01::003426265286,1.0,1.0,1.0,3407,0.0,0.0
01::003426385286,1.0,1.0,1.0,3407,0.0,0.0
01::003426465286,1.0,1.0,1.0,3407,0.0,0.0
01::003430375290,1.0,1.0,1.0,3407,0.0,0.0
01::003430415290,1.0,1.0,1.0,3407,0.0,0.0
01::003430545290,1.0,1.0,1.0,3407,0.0,0.0
01::003433465293,1.0,1.0,1.0,3407,0.0,0.0
01::003433605293,1.0,1.0,1.0,3407,0.0,0.0
01::003433745293,1.0,1.0,1.0,3407,0.0,0.0
01::003433935293,1.0,1.0,1.0,3407,0.0,0.0
01::003434035293,1.0,1.0,1.0,3407,0.0,0.0
01::003434295293,1.0,1.0,1.0,3407,0.0,0.0
01::003434415293,1.0,1.0,1.0,3407,0.0,0.0
01::003436795295,1.0,1.0,1.0,3407,0.0,0.0
01::003446215305,1.0,1.0,1.0,3407,0.0,0.0
01::003446265305,1.0,1.0,0.6666666666666666,3407,0.0,-0.33333333333333337
01::003446555306,1.0,1.0,1.0,3407,0.0,0.0
01::003446715305,1.0,1.0,1.0,3407,0.0,0.0
01::003446945306,1.0,1.0,1.0,3407,0.0,0.0
01::003447115306,1.0,1.0,1.0,3407,0.0,0.0
01::003447235306,1.0,1.0,1.0,3407,0.0,0.0
01::003447285306,1.0,1.0,1.0,3407,0.0,0.0
01::003447475306,0.5,1.0,1.0,3407,0.5,0.0
01::003447605305,1.0,1.0,1.0,3407,0.0,0.0
