variant,metric,mean_delta,sd_delta,positive_seeds,negative_seeds
F1,cross_swap_drop,-0.0327787869701619,0.03674034534033465,1,2
F1,cross_swap_macro_f1,0.044121954452100244,0.04238070503914511,3,0
F1,dar,-0.021015195602974462,0.03403094711667579,1,2
F1,dar_flip,-0.02052122114802657,0.034908073587673595,1,2
F1,foreground_macro_f1,0.1216959001373487,0.02262220438002016,3,0
F1,original_macro_f1,0.011343167481938346,0.010886673427245187,3,0
F1,original_tail_f1,0.019514261755195144,0.011633605982744186,3,0
F1,prediction_agreement,0.02521823472356936,0.029543151135825483,3,0
F1,same_swap_macro_f1,0.014087336513585402,0.010322894177169143,3,0
F1,track_balanced_accuracy,0.0020525841615325704,0.002517421467800826,3,0
F2,cross_swap_drop,0.03898062786260333,0.023148795780434796,3,0
F2,cross_swap_macro_f1,-0.04116754483438508,0.021489268070570777,0,3
F2,dar,0.008567733591981883,0.021675233864353244,2,1
F2,dar_flip,0.009407711475879516,0.021796322595338053,2,1
F2,foreground_macro_f1,-0.10761776206336708,0.041421597516337505,0,3
F2,original_macro_f1,-0.0021869169717817494,0.006159449784830202,1,2
F2,original_tail_f1,-0.025896198198666953,0.01780192753205203,0,3
F2,prediction_agreement,-0.03475590042030389,0.0315426831727658,1,2
F2,same_swap_macro_f1,-0.00792664108281053,0.011888533854003748,1,2
F2,track_balanced_accuracy,-0.00018626619559747315,0.002787072919485903,2,1
F3,cross_swap_drop,-0.050964372103111964,0.02672392548621764,0,3
F3,cross_swap_macro_f1,0.05390066555661336,0.028901171778290213,3,0
F3,dar,-0.022874232137083738,0.03359622527402892,1,2
F3,dar_flip,-0.022327814881953095,0.03320234670751946,1,2
F3,foreground_macro_f1,0.10954358679077965,0.0247565480358013,3,0
F3,original_macro_f1,0.0029362934535014005,0.017605213233646652,2,1
F3,original_tail_f1,0.011465279710269893,0.01111339508822934,2,0
F3,prediction_agreement,0.02845134173941159,0.03267708074516932,3,0
F3,same_swap_macro_f1,0.008353915368145412,0.016779758659059674,2,1
F3,track_balanced_accuracy,0.002587784965550418,0.001198705066950474,3,0
