fold,swap_type,donor_species_id,count,fraction
1,cross_class,01,2423,0.2762197902416781
1,cross_class,02,1235,0.1407888736890105
1,cross_class,03,1556,0.1773825809393525
1,cross_class,04,1575,0.1795485636114911
1,cross_class,05,1034,0.11787505699954401
1,cross_class,06,65,0.007409940720474236
1,cross_class,07,154,0.017555859553123575
1,cross_class,08,105,0.011969904240766074
1,cross_class,09,173,0.019721842225262198
1,cross_class,10,130,0.014819881440948472
1,cross_class,11,50,0.005699954400364797
1,cross_class,12,75,0.008549931600547196
1,cross_class,13,76,0.008663930688554491
1,cross_class,14,17,0.001937984496124031
1,cross_class,15,29,0.0033059735522115823
1,cross_class,16,75,0.008549931600547196
2,cross_class,01,2630,0.2804734989868828
2,cross_class,02,1138,0.12136077636770823
2,cross_class,03,1570,0.16743094806441292
2,cross_class,04,1770,0.18875973125733178
2,cross_class,05,1140,0.12157406419963741
2,cross_class,06,131,0.013970352991361843
2,cross_class,07,142,0.015143436066972379
2,cross_class,08,94,0.010024528100671856
2,cross_class,09,90,0.00959795243681348
2,cross_class,10,183,0.019515836621520743
2,cross_class,11,45,0.00479897621840674
2,cross_class,12,98,0.010451103764530234
2,cross_class,13,129,0.013757065159432655
2,cross_class,14,43,0.0045856883864775514
2,cross_class,15,15,0.0015996587394689133
2,cross_class,16,159,0.01695638263837048
3,cross_class,01,2495,0.2777159394479074
3,cross_class,02,1257,0.1399154051647373
3,cross_class,03,1507,0.16774265360641138
3,cross_class,04,1730,0.19256455921638468
3,cross_class,05,1013,0.1127560106856634
3,cross_class,06,86,0.009572573463935885
3,cross_class,07,324,0.036064113980409616
3,cross_class,08,118,0.01313446126447017
3,cross_class,09,100,0.011130899376669634
3,cross_class,10,104,0.01157613535173642
3,cross_class,11,44,0.004897595725734639
3,cross_class,12,35,0.003895814781834372
3,cross_class,13,65,0.007235084594835263
3,cross_class,14,41,0.00456366874443455
3,cross_class,15,17,0.001892252894033838
3,cross_class,16,48,0.005342831700801425
