fold,swap_type,donor_species_id,donor_group_id,count
1,cross_class,01,01::000000589598,20
1,cross_class,01,01::000002609598,11
1,cross_class,01,01::000002819598,1
1,cross_class,01,01::000004270001,3
1,cross_class,01,01::000004290001,4
1,cross_class,01,01::000004320001,5
1,cross_class,01,01::000004330001,7
1,cross_class,01,01::000004340001,8
1,cross_class,01,01::000004350001,10
1,cross_class,01,01::000004360001,7
1,cross_class,01,01::000004370001,3
1,cross_class,01,01::000004440001,8
1,cross_class,01,01::000004450001,1
1,cross_class,01,01::000004480001,4
1,cross_class,01,01::000004550001,3
1,cross_class,01,01::000004560001,11
1,cross_class,01,01::000004570001,4
1,cross_class,01,01::000004600001,39
1,cross_class,01,01::000004830001,5
1,cross_class,01,01::000004860001,2
1,cross_class,01,01::000004930001,9
1,cross_class,01,01::000005439598,2
1,cross_class,01,01::000006069598,1
1,cross_class,01,01::000006840001,1
1,cross_class,01,01::000006880001,3
1,cross_class,01,01::000006930001,1
1,cross_class,01,01::000006940001,5
1,cross_class,01,01::000007070001,2
1,cross_class,01,01::000007110001,15
1,cross_class,01,01::000007190001,2
1,cross_class,01,01::000007200001,6
1,cross_class,01,01::000007210001,16
1,cross_class,01,01::000007220001,9
1,cross_class,01,01::000007230001,1
1,cross_class,01,01::000007240001,14
1,cross_class,01,01::000007289598,15
1,cross_class,01,01::000007330001,6
1,cross_class,01,01::000007360001,6
1,cross_class,01,01::000007440001,10
1,cross_class,01,01::000007460001,4
1,cross_class,01,01::000010309598,41
1,cross_class,01,01::000011189598,3
1,cross_class,01,01::000011310001,4
1,cross_class,01,01::000011360001,2
1,cross_class,01,01::000012449597,1
1,cross_class,01,01::000013170001,1
1,cross_class,01,01::000013370001,1
1,cross_class,01,01::000013510001,6
1,cross_class,01,01::000013540001,2
1,cross_class,01,01::000013590001,1
1,cross_class,01,01::000013660001,4
1,cross_class,01,01::000013700001,4
1,cross_class,01,01::000013860001,2
1,cross_class,01,01::000015009597,1
1,cross_class,01,01::000015070001,6
1,cross_class,01,01::000015090001,2
1,cross_class,01,01::000015230001,2
1,cross_class,01,01::000017140001,1
1,cross_class,01,01::000017520001,3
1,cross_class,01,01::000017600001,2
1,cross_class,01,01::000017620001,5
1,cross_class,01,01::000017630001,4
1,cross_class,01,01::000017810001,2
1,cross_class,01,01::000017860001,2
1,cross_class,01,01::000017910001,5
1,cross_class,01,01::000017930001,3
1,cross_class,01,01::000017940001,3
