recipient_species_id,donor_species_id,count,fold
01,02,788,1
01,03,1060,1
01,04,1066,1
01,05,648,1
01,06,34,1
01,07,94,1
01,08,68,1
01,09,105,1
01,10,73,1
01,11,30,1
01,12,40,1
01,13,39,1
01,14,9,1
01,15,18,1
01,16,45,1
02,01,466,1
02,03,130,1
02,04,131,1
02,05,89,1
02,06,10,1
02,07,18,1
02,08,6,1
02,09,14,1
02,10,10,1
02,11,2,1
02,12,6,1
02,13,2,1
02,15,4,1
02,16,2,1
03,01,606,1
03,02,149,1
03,04,172,1
03,05,119,1
03,06,7,1
03,07,11,1
03,08,11,1
03,09,17,1
03,10,16,1
03,11,3,1
03,12,10,1
03,13,10,1
03,14,2,1
03,15,1,1
03,16,8,1
04,01,640,1
04,02,152,1
04,03,175,1
04,05,114,1
04,06,9,1
04,07,15,1
04,08,11,1
04,09,19,1
04,10,17,1
04,11,7,1
04,12,12,1
04,13,10,1
04,14,3,1
04,15,3,1
04,16,5,1
05,01,394,1
05,02,97,1
05,03,109,1
05,04,119,1
05,06,1,1
05,07,14,1
05,08,6,1
05,09,10,1
05,10,7,1
05,11,5,1
05,12,4,1
05,13,11,1
05,14,3,1
05,15,2,1
05,16,9,1
06,01,21,1
06,02,3,1
06,03,4,1
06,04,8,1
06,05,2,1
06,08,1,1
06,12,1,1
07,01,55,1
07,02,6,1
07,03,12,1
07,04,13,1
07,05,12,1
07,06,1,1
07,10,2,1
07,11,1,1
07,15,1,1
07,16,2,1
08,01,34,1
08,02,3,1
08,03,8,1
08,04,6,1
08,05,8,1
08,07,1,1
08,09,5,1
08,16,1,1
09,01,50,1
09,02,7,1
09,03,16,1
09,04,19,1
09,05,14,1
09,06,1,1
09,10,2,1
09,12,1,1
10,01,43,1
10,02,15,1
10,03,11,1
10,04,14,1
10,05,8,1
10,07,1,1
10,09,1,1
10,12,1,1
10,13,2,1
11,01,19,1
11,02,2,1
11,03,3,1
11,04,3,1
11,05,2,1
11,08,1,1
11,09,1,1
11,16,2,1
12,01,28,1
12,02,2,1
12,03,9,1
12,04,7,1
12,05,3,1
12,09,1,1
12,11,1,1
13,01,19,1
13,02,5,1
13,03,11,1
13,04,8,1
13,05,5,1
13,10,2,1
13,11,1,1
13,16,1,1
14,01,7,1
14,03,3,1
14,04,2,1
14,05,1,1
15,01,10,1
15,02,1,1
15,03,1,1
15,04,2,1
15,05,4,1
15,06,2,1
16,01,31,1
16,02,5,1
16,03,4,1
16,04,5,1
16,05,5,1
16,08,1,1
16,10,1,1
16,13,2,1
01,02,662,2
01,03,987,2
01,04,1109,2
01,05,656,2
01,06,71,2
01,07,92,2
01,08,53,2
01,09,52,2
01,10,100,2
01,11,24,2
01,12,56,2
01,13,74,2
01,14,18,2
01,15,7,2
01,16,84,2
02,01,396,2
02,03,130,2
02,04,144,2
02,05,120,2
02,06,10,2
02,07,4,2
02,08,6,2
02,09,9,2
02,10,21,2
02,11,3,2
02,12,8,2
02,13,13,2
02,14,2,2
02,16,16,2
03,01,644,2
03,02,130,2
03,04,230,2
03,05,136,2
03,06,12,2
03,07,13,2
03,08,13,2
03,09,8,2
03,10,17,2
03,11,7,2
03,12,8,2
03,13,8,2
03,14,10,2
03,15,1,2
03,16,23,2
04,01,791,2
04,02,181,2
04,03,213,2
04,05,151,2
04,06,16,2
04,07,14,2
04,08,9,2
04,09,7,2
04,10,25,2
04,11,7,2
04,12,14,2
04,13,19,2
04,14,5,2
04,15,2,2
04,16,18,2
05,01,443,2
05,02,96,2
05,03,139,2
05,04,155,2
05,06,12,2
05,07,8,2
05,08,8,2
05,09,7,2
05,10,10,2
05,11,2,2
05,12,8,2
05,13,7,2
05,14,5,2
05,15,4,2
05,16,10,2
06,01,33,2
06,02,9,2
06,03,13,2
06,04,15,2
06,05,6,2
06,07,2,2
06,09,1,2
06,10,1,2
06,12,1,2
06,13,2,2
06,16,1,2
07,01,40,2
07,02,9,2
07,03,15,2
07,04,19,2
07,05,10,2
07,08,1,2
07,10,5,2
07,13,2,2
07,16,1,2
08,01,29,2
08,02,5,2
08,03,10,2
08,04,16,2
08,05,3,2
08,06,1,2
08,07,1,2
08,09,1,2
08,14,1,2
08,16,1,2
09,01,33,2
09,02,4,2
09,03,8,2
09,04,10,2
09,05,2,2
09,06,2,2
09,07,2,2
09,08,1,2
09,13,1,2
09,16,2,2
10,01,68,2
10,02,12,2
10,03,14,2
10,04,14,2
10,05,12,2
10,06,1,2
10,07,1,2
10,09,2,2
10,12,2,2
10,16,2,2
11,01,14,2
11,02,1,2
11,03,4,2
11,04,4,2
11,05,3,2
11,10,1,2
11,13,1,2
12,01,20,2
12,02,9,2
12,03,10,2
12,04,16,2
12,05,5,2
12,06,3,2
12,07,2,2
12,08,2,2
12,09,1,2
12,10,1,2
12,11,1,2
12,13,2,2
12,14,1,2
13,01,39,2
13,02,2,2
13,03,14,2
13,04,12,2
13,05,12,2
13,06,1,2
13,09,1,2
13,10,1,2
13,15,1,2
13,16,1,2
14,01,18,2
14,02,4,2
14,03,2,2
14,04,10,2
14,05,5,2
14,10,1,2
15,01,6,2
15,03,1,2
15,04,2,2
15,05,3,2
16,01,56,2
16,02,14,2
16,03,10,2
16,04,14,2
16,05,16,2
16,06,2,2
16,07,3,2
16,08,1,2
16,09,1,2
16,11,1,2
16,12,1,2
16,14,1,2
01,02,775,3
01,03,934,3
01,04,1103,3
01,05,600,3
01,06,51,3
01,07,188,3
01,08,64,3
01,09,55,3
01,10,51,3
01,11,23,3
01,12,23,3
01,13,29,3
01,14,23,3
01,15,9,3
01,16,22,3
02,01,437,3
02,03,135,3
02,04,155,3
02,05,98,3
02,06,5,3
02,07,35,3
02,08,9,3
02,09,7,3
02,10,7,3
02,11,6,3
02,12,2,3
02,13,7,3
02,14,4,3
02,15,1,3
02,16,3,3
03,01,625,3
03,02,138,3
03,04,226,3
03,05,102,3
03,06,11,3
03,07,28,3
03,08,14,3
03,09,8,3
03,10,8,3
03,11,6,3
03,12,4,3
03,13,8,3
03,14,3,3
03,15,4,3
03,16,6,3
04,01,730,3
04,02,162,3
04,03,214,3
04,05,141,3
04,06,11,3
04,07,43,3
04,08,17,3
04,09,16,3
04,10,20,3
04,11,4,3
04,12,1,3
04,13,13,3
04,14,6,3
04,15,1,3
04,16,6,3
05,01,383,3
05,02,104,3
05,03,134,3
05,04,137,3
05,06,4,3
05,07,16,3
05,08,9,3
05,09,8,3
05,10,10,3
05,11,4,3
05,12,3,3
05,13,5,3
05,14,4,3
05,15,1,3
05,16,7,3
06,01,30,3
06,02,8,3
06,03,6,3
06,04,10,3
06,05,5,3
06,07,3,3
06,09,1,3
06,10,2,3
06,16,1,3
07,01,122,3
07,02,25,3
07,03,26,3
07,04,33,3
07,05,23,3
07,06,2,3
07,08,4,3
07,09,2,3
07,10,4,3
07,11,1,3
07,13,1,3
08,01,32,3
08,02,10,3
08,03,12,3
08,04,18,3
08,05,5,3
08,06,1,3
08,07,4,3
08,09,1,3
08,12,1,3
09,01,29,3
09,02,7,3
09,03,12,3
09,04,8,3
09,05,8,3
09,07,1,3
09,14,1,3
10,01,25,3
10,02,12,3
10,03,9,3
10,04,15,3
10,05,9,3
10,07,2,3
10,13,2,3
10,16,1,3
11,01,14,3
11,02,5,3
11,03,5,3
11,04,8,3
11,05,4,3
11,15,1,3
12,01,9,3
12,02,1,3
12,03,3,3
12,04,2,3
12,05,3,3
12,08,1,3
12,09,1,3
12,10,1,3
12,16,2,3
13,01,24,3
13,02,2,3
13,03,5,3
13,04,5,3
13,05,6,3
13,06,1,3
13,07,1,3
13,09,1,3
14,01,18,3
14,02,6,3
14,03,3,3
14,04,3,3
14,05,4,3
14,07,1,3
14,10,1,3
14,12,1,3
15,01,3,3
15,03,1,3
15,04,4,3
15,05,2,3
16,01,14,3
16,02,2,3
16,03,8,3
16,04,3,3
16,05,3,3
16,07,2,3
