fold,seed,donor_species,recipient_species,n,f0_correct,cxt_correct,delta_correct
1,3407,1,1,43,0.06976744186046512,0.5116279069767442,0.4418604651162791
1,3407,1,2,19,0.631578947368421,0.5789473684210527,-0.05263157894736842
1,3407,1,3,28,0.7857142857142857,0.9285714285714286,0.14285714285714285
1,3407,1,4,19,0.631578947368421,0.7368421052631579,0.10526315789473684
1,3407,1,5,7,0.8571428571428571,0.8571428571428571,0.0
1,3407,1,6,10,0.5,0.4,-0.1
1,3407,1,7,31,0.0,0.03225806451612903,0.03225806451612903
1,3407,1,8,466,0.6695278969957081,0.6394849785407726,-0.030042918454935622
1,3407,1,9,606,0.5478547854785478,0.7260726072607261,0.1782178217821782
1,3407,1,10,640,0.9109375,0.8953125,-0.015625
1,3407,1,11,394,0.9898477157360406,0.748730964467005,-0.24111675126903553
1,3407,1,12,21,0.6666666666666666,0.7142857142857143,0.047619047619047616
1,3407,1,13,55,0.07272727272727272,0.12727272727272726,0.05454545454545454
1,3407,1,14,34,0.4411764705882353,0.5294117647058824,0.08823529411764706
1,3407,1,15,50,0.66,0.88,0.22
1,3407,10,0,73,0.8904109589041096,0.9178082191780822,0.0273972602739726
1,3407,10,4,2,1.0,1.0,0.0
1,3407,10,7,1,0.0,0.0,0.0
1,3407,10,8,10,0.7,0.7,0.0
1,3407,10,9,16,0.875,0.875,0.0
1,3407,10,10,17,1.0,1.0,0.0
1,3407,10,11,7,1.0,1.0,0.0
1,3407,10,13,2,0.5,0.0,-0.5
1,3407,10,15,2,1.0,0.5,-0.5
1,3407,11,0,30,0.9666666666666667,0.9333333333333333,-0.03333333333333333
1,3407,11,3,1,1.0,1.0,0.0
1,3407,11,4,1,1.0,1.0,0.0
1,3407,11,8,2,0.5,0.5,0.0
1,3407,11,9,3,0.3333333333333333,1.0,0.6666666666666666
1,3407,11,10,7,1.0,1.0,0.0
1,3407,11,11,5,1.0,0.8,-0.2
1,3407,11,13,1,0.0,1.0,1.0
1,3407,12,0,40,1.0,0.95,-0.05
1,3407,12,1,1,1.0,1.0,0.0
1,3407,12,8,6,0.8333333333333334,0.5,-0.3333333333333333
1,3407,12,9,10,0.6,0.4,-0.2
1,3407,12,10,12,0.9166666666666666,0.9166666666666666,0.0
1,3407,12,11,4,1.0,1.0,0.0
1,3407,12,12,1,0.0,0.0,0.0
1,3407,12,15,1,1.0,1.0,0.0
1,3407,13,0,39,0.5128205128205128,0.7435897435897436,0.23076923076923078
1,3407,13,1,2,0.0,0.0,0.0
1,3407,13,7,2,0.0,0.0,0.0
1,3407,13,8,2,1.0,0.5,-0.5
1,3407,13,9,10,0.4,0.7,0.3
1,3407,13,10,10,1.0,0.9,-0.1
1,3407,13,11,11,1.0,0.9090909090909091,-0.09090909090909091
1,3407,14,0,9,0.8888888888888888,1.0,0.1111111111111111
1,3407,14,9,2,1.0,1.0,0.0
1,3407,14,10,3,0.6666666666666666,1.0,0.3333333333333333
1,3407,14,11,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333
1,3407,15,0,18,1.0,0.9444444444444444,-0.05555555555555555
1,3407,15,8,4,1.0,1.0,0.0
1,3407,15,9,1,1.0,1.0,0.0
1,3407,15,10,3,1.0,1.0,0.0
1,3407,15,11,2,1.0,0.5,-0.5
1,3407,15,13,1,1.0,1.0,0.0
1,3407,16,0,45,0.8444444444444444,0.9555555555555556,0.1111111111111111
1,3407,16,2,2,1.0,1.0,0.0
1,3407,16,4,1,0.0,1.0,1.0
1,3407,16,8,2,0.0,0.5,0.5
1,3407,16,9,8,0.625,0.875,0.25
1,3407,16,10,5,0.6,1.0,0.4
1,3407,16,11,9,1.0,0.8888888888888888,-0.1111111111111111
1,3407,16,13,2,0.0,0.5,0.5
1,3407,16,14,1,1.0,1.0,0.0
1,3407,2,0,788,0.8857868020304569,0.9314720812182741,0.04568527918781726
1,3407,2,1,15,0.0,0.7333333333333333,0.7333333333333333
1,3407,2,2,2,0.5,0.5,0.0
1,3407,2,3,2,1.0,1.0,0.0
1,3407,2,4,5,0.4,0.8,0.4
1,3407,2,6,1,0.0,1.0,1.0
1,3407,2,7,5,0.0,0.0,0.0
1,3407,2,9,149,0.9060402684563759,0.9530201342281879,0.04697986577181208
1,3407,2,10,152,0.6973684210526315,0.7631578947368421,0.06578947368421052
