fold,seed,method,clean_macro_f1,foreground_macro_f1,same_composite_macro_f1,cross_composite_macro_f1,dar_flip,agreement
1,3407,F0_2RGB,0.9516263016767372,0.8172194362809553,0.8968249941891482,0.573633552132246,0.19852941176470587,0.7430460556315549
1,3407,CXT-Fish,0.9585770951416963,0.9539813197524705,0.9224017571205549,0.6287750383657325,0.16741302101274544,0.7721158230734154
1,2026,F0_2RGB,0.9550435504740913,0.8533037212581417,0.9276257082588169,0.5488607397831122,0.22930520522815867,0.7099863201094391
1,2026,CXT-Fish,0.9590415164622809,0.9580330573921754,0.9377802840239445,0.6239039227698087,0.17273876565911964,0.7659598723210215
1,17,F0_2RGB,0.9564366824497046,0.8356208459452692,0.9174370273569874,0.5550871844096708,0.18179731435785607,0.7463520291837665
1,17,CXT-Fish,0.9580793845467769,0.958360255900242,0.9380206500089169,0.633885237474454,0.1644653726886413,0.7900136798905609
2,3407,F0_2RGB,0.9437991928074132,0.7899340177625329,0.9031204055370337,0.48351705956382646,0.2204173838209983,0.7008638157193132
2,3407,CXT-Fish,0.9622696277081919,0.9653040233572956,0.9360774630030501,0.6312913666451446,0.16444539982803094,0.7732750346592727
2,2026,F0_2RGB,0.948700098585264,0.8381454469730647,0.9162786017496465,0.535753093765411,0.1844942850981238,0.7573850911805482
2,2026,CXT-Fish,0.9670235002850117,0.9598598443605186,0.9418293714164876,0.5581031594129373,0.18899495870427974,0.7597312573317693
2,17,F0_2RGB,0.9407319356314401,0.8409160271305466,0.9250695611180151,0.5223315456388762,0.17711700064641242,0.745334328676549
2,17,CXT-Fish,0.9661440131504991,0.9590171698946772,0.9344448796239659,0.5887320489078521,0.20541178997100826,0.7348832249120187
3,3407,F0_2RGB,0.973981148167979,0.8297170788812482,0.9433703693470223,0.5134902463977444,0.20242233935179993,0.7255120213713268
3,3407,CXT-Fish,0.977969687565452,0.9660780723491695,0.9528372919190153,0.5639963788077642,0.20561584069806466,0.7374220837043634
3,2026,F0_2RGB,0.9645635861056543,0.8481128344266435,0.9094227812077837,0.47841989262375423,0.2252161221511171,0.693900267141585
3,2026,CXT-Fish,0.9391658531851024,0.9370632450256116,0.9466219699308667,0.5883402835394254,0.17323896191439164,0.7743766696349065
3,17,F0_2RGB,0.961306516091757,0.8006077125307784,0.9299743833952125,0.4959284545734124,0.21379620267385688,0.7058103294746215
3,17,CXT-Fish,0.912146215558085,0.9373531126854795,0.8523019161917261,0.5046079009065989,0.17070695681587553,0.7477738201246661
