model,fold,method,seed,gap_name,gap_definition,gap
ResNet18,1,F0,17,foreground_gap,original macro-F1 - view macro-F1,0.0752752659447351
ResNet18,1,F0,17,same_swap_gap,original macro-F1 - view macro-F1,0.020760285097868425
ResNet18,1,F0,17,cross_swap_gap,original macro-F1 - view macro-F1,0.40361437306668446
ResNet18,1,F0,2026,foreground_gap,original macro-F1 - view macro-F1,0.1217642508066843
ResNet18,1,F0,2026,same_swap_gap,original macro-F1 - view macro-F1,0.04128219202392047
ResNet18,1,F0,2026,cross_swap_gap,original macro-F1 - view macro-F1,0.40512113343989176
ResNet18,1,F0,3407,foreground_gap,original macro-F1 - view macro-F1,0.13682676293733387
ResNet18,1,F0,3407,same_swap_gap,original macro-F1 - view macro-F1,0.03925416626375544
ResNet18,1,F0,3407,cross_swap_gap,original macro-F1 - view macro-F1,0.391882937843274
ResNet18,1,F1,17,foreground_gap,original macro-F1 - view macro-F1,-0.0002808713534651064
ResNet18,1,F1,17,same_swap_gap,original macro-F1 - view macro-F1,0.02005873453786
ResNet18,1,F1,17,cross_swap_gap,original macro-F1 - view macro-F1,0.32419414707232286
ResNet18,1,F1,2026,foreground_gap,original macro-F1 - view macro-F1,0.001008459070105494
ResNet18,1,F1,2026,same_swap_gap,original macro-F1 - view macro-F1,0.02126123243833633
ResNet18,1,F1,2026,cross_swap_gap,original macro-F1 - view macro-F1,0.3351375936924722
ResNet18,1,F1,3407,foreground_gap,original macro-F1 - view macro-F1,0.004595775389225842
ResNet18,1,F1,3407,same_swap_gap,original macro-F1 - view macro-F1,0.03617533802114137
ResNet18,1,F1,3407,cross_swap_gap,original macro-F1 - view macro-F1,0.32980205677596386
ResNet18,2,F0,17,foreground_gap,original macro-F1 - view macro-F1,0.1318928551457852
ResNet18,2,F0,17,same_swap_gap,original macro-F1 - view macro-F1,0.0569375448631696
ResNet18,2,F0,17,cross_swap_gap,original macro-F1 - view macro-F1,0.4521025602404025
ResNet18,2,F0,2026,foreground_gap,original macro-F1 - view macro-F1,0.1041794551142543
ResNet18,2,F0,2026,same_swap_gap,original macro-F1 - view macro-F1,0.035201316374515734
ResNet18,2,F0,2026,cross_swap_gap,original macro-F1 - view macro-F1,0.43849316745581346
ResNet18,2,F0,3407,foreground_gap,original macro-F1 - view macro-F1,0.14748984132898224
ResNet18,2,F0,3407,same_swap_gap,original macro-F1 - view macro-F1,0.04535324973088728
ResNet18,2,F0,3407,cross_swap_gap,original macro-F1 - view macro-F1,0.4711109631871381
ResNet18,2,F1,17,foreground_gap,original macro-F1 - view macro-F1,0.007126843255821913
ResNet18,2,F1,17,same_swap_gap,original macro-F1 - view macro-F1,0.031699133526533196
ResNet18,2,F1,17,cross_swap_gap,original macro-F1 - view macro-F1,0.377411964242647
ResNet18,2,F1,2026,foreground_gap,original macro-F1 - view macro-F1,0.007163655924493084
ResNet18,2,F1,2026,same_swap_gap,original macro-F1 - view macro-F1,0.025194128868524124
ResNet18,2,F1,2026,cross_swap_gap,original macro-F1 - view macro-F1,0.4089203408720744
ResNet18,2,F1,3407,foreground_gap,original macro-F1 - view macro-F1,-0.0030343956491036828
ResNet18,2,F1,3407,same_swap_gap,original macro-F1 - view macro-F1,0.02619216470514185
ResNet18,2,F1,3407,cross_swap_gap,original macro-F1 - view macro-F1,0.3309782610630473
ResNet18,3,F0,17,foreground_gap,original macro-F1 - view macro-F1,0.15741221548463336
