"seed","score","event","auroc","auprc","prevalence","aurc_clean_error"
"3407","f1_msp","clean_error","0.9729408215","0.3389226285","0.0050921435","0.0001622968"
"3407","f1_msp","cross_swap_flip","0.6312659524","0.4099607246","0.2585912747","0.0001622968"
"3407","f1_msp","dar_flip","0.6302740829","0.3277149264","0.2105776261","0.0001622968"
"3407","f1_entropy","clean_error","0.9729930481","0.3789440527","0.0050921435","0.0001625872"
"3407","f1_entropy","cross_swap_flip","0.6300845654","0.4117745057","0.2585912747","0.0001625872"
"3407","f1_entropy","dar_flip","0.6294520342","0.3269199525","0.2105776261","0.0001625872"
"3407","label_disagreement","clean_error","0.5935320265","0.0464502538","0.0050921435","0.0018912843"
"3407","label_disagreement","cross_swap_flip","0.5040550731","0.262886227","0.2585912747","0.0018912843"
"3407","label_disagreement","dar_flip","0.5022372732","0.212091472","0.2105776261","0.0018912843"
"3407","js_divergence","clean_error","0.9539129325","0.1251436634","0.0050921435","0.0002778619"
"3407","js_divergence","cross_swap_flip","0.6322354148","0.3950001442","0.2585912747","0.0002778619"
"3407","js_divergence","dar_flip","0.6208581324","0.3101386927","0.2105776261","0.0002778619"
"3407","random","clean_error","0.4530366863","0.0048354655","0.0050921435","0.004690369"
"3407","random","cross_swap_flip","0.4946867016","0.2544898808","0.2585912747","0.004690369"
"3407","random","dar_flip","0.5017959647","0.2116833225","0.2105776261","0.004690369"
"2026","f1_msp","clean_error","0.9675639149","0.4097442831","0.0063045587","0.0002389748"
"2026","f1_msp","cross_swap_flip","0.7019913805","0.4263220161","0.2501220107","0.0002389748"
"2026","f1_msp","dar_flip","0.6775351597","0.2972048513","0.1820400195","0.0002389748"
"2026","f1_entropy","clean_error","0.9665409018","0.3398921893","0.0063045587","0.000245655"
"2026","f1_entropy","cross_swap_flip","0.7020936084","0.4280158486","0.2501220107","0.000245655"
"2026","f1_entropy","dar_flip","0.6777527082","0.2968177368","0.1820400195","0.000245655"
"2026","label_disagreement","clean_error","0.8061061681","0.3419473767","0.0063045587","0.0019264863"
"2026","label_disagreement","cross_swap_flip","0.5017878771","0.2513595704","0.2501220107","0.0019264863"
"2026","label_disagreement","dar_flip","0.4996996711","0.1819644328","0.1820400195","0.0019264863"
"2026","js_divergence","clean_error","0.9552877576","0.3150561439","0.0063045587","0.0003272287"
"2026","js_divergence","cross_swap_flip","0.6836560761","0.402624532","0.2501220107","0.0003272287"
"2026","js_divergence","dar_flip","0.653184126","0.2731958405","0.1820400195","0.0003272287"
"2026","random","clean_error","0.4814637534","0.0141107783","0.0063045587","0.0063562432"
"2026","random","cross_swap_flip","0.5028958752","0.2570720875","0.2501220107","0.0063562432"
"2026","random","dar_flip","0.5023962326","0.1883839376","0.1820400195","0.0063562432"
"17","f1_msp","clean_error","0.9792908321","0.3914912268","0.0072744908","0.0001839444"
"17","f1_msp","cross_swap_flip","0.7179495456","0.400647995","0.1936980948","0.0001839444"
"17","f1_msp","dar_flip","0.6823996159","0.2705174002","0.1443575965","0.0001839444"
"17","f1_entropy","clean_error","0.9783341475","0.3714104631","0.0072744908","0.0001906886"
"17","f1_entropy","cross_swap_flip","0.7180870713","0.4066595217","0.1936980948","0.0001906886"
"17","f1_entropy","dar_flip","0.6827783099","0.2737029205","0.1443575965","0.0001906886"
"17","label_disagreement","clean_error","0.7487787005","0.3036372454","0.0072744908","0.0032789552"
"17","label_disagreement","cross_swap_flip","0.5031772251","0.196772258","0.1936980948","0.0032789552"
"17","label_disagreement","dar_flip","0.5015389275","0.1451476594","0.1443575965","0.0032789552"
"17","js_divergence","clean_error","0.9779514737","0.3792333895","0.0072744908","0.0001938534"
"17","js_divergence","cross_swap_flip","0.7057689729","0.3809164088","0.1936980948","0.0001938534"
"17","js_divergence","dar_flip","0.671342137","0.2583827231","0.1443575965","0.0001938534"
"17","random","clean_error","0.5720078163","0.0087712738","0.0072744908","0.005529291"
"17","random","cross_swap_flip","0.49915288","0.1953419488","0.1936980948","0.005529291"
"17","random","dar_flip","0.5055690723","0.150674233","0.1443575965","0.005529291"
