split,species_id,images,groups,protocol,proportion
test,1,1817,1265,image-level,0.44643734643734645
test,2,403,347,image-level,0.09901719901719902
test,3,539,376,image-level,0.13243243243243244
test,4,607,349,image-level,0.14914004914004914
test,5,380,217,image-level,0.09336609336609336
test,6,29,23,image-level,0.007125307125307125
test,7,67,23,image-level,0.016461916461916463
test,8,32,25,image-level,0.007862407862407862
test,9,36,24,image-level,0.008845208845208846
test,10,45,29,image-level,0.011056511056511056
test,11,14,9,image-level,0.0034398034398034397
test,12,22,8,image-level,0.005405405405405406
test,13,27,14,image-level,0.006633906633906634
test,14,14,10,image-level,0.0034398034398034397
test,15,7,5,image-level,0.0017199017199017199
test,16,31,10,image-level,0.007616707616707617
train,1,8478,3495,image-level,0.44637498025588374
train,2,1878,987,image-level,0.09887853419680935
train,3,2515,1019,image-level,0.13241720633917758
train,4,2834,873,image-level,0.14921286789869953
train,5,1774,485,image-level,0.09340283262254515
train,6,133,58,image-level,0.007002579897857106
train,7,315,64,image-level,0.01658505765281946
train,8,153,57,image-level,0.008055599431369452
train,9,169,54,image-level,0.00889801505817933
train,10,209,48,image-level,0.011004054125204022
train,11,69,35,image-level,0.003632917390617596
train,12,103,27,image-level,0.005423050597588585
train,13,127,20,image-level,0.006686674037803401
train,14,63,18,image-level,0.003317011530563892
train,15,29,15,image-level,0.0015268783235929026
train,16,144,14,image-level,0.007581740641288896
val,1,1817,1276,image-level,0.44643734643734645
val,2,402,312,image-level,0.09877149877149877
val,3,539,360,image-level,0.13243243243243244
val,4,608,355,image-level,0.1493857493857494
val,5,380,207,image-level,0.09336609336609336
val,6,28,23,image-level,0.0068796068796068794
val,7,68,30,image-level,0.016707616707616706
val,8,33,24,image-level,0.008108108108108109
val,9,36,26,image-level,0.008845208845208846
val,10,45,28,image-level,0.011056511056511056
val,11,15,12,image-level,0.0036855036855036856
val,12,22,12,image-level,0.005405405405405406
val,13,27,14,image-level,0.006633906633906634
val,14,13,10,image-level,0.0031941031941031942
val,15,6,5,image-level,0.0014742014742014742
val,16,31,10,image-level,0.007616707616707617
test,1,2007,636,group-disjoint,0.463724584103512
test,2,431,184,group-disjoint,0.09958410351201478
test,3,532,177,group-disjoint,0.12292051756007394
test,4,631,153,group-disjoint,0.14579482439926064
test,5,372,80,group-disjoint,0.08595194085027727
test,6,28,12,group-disjoint,0.006469500924214418
test,7,57,11,group-disjoint,0.013170055452865065
test,8,42,10,group-disjoint,0.009704251386321626
test,9,36,8,group-disjoint,0.00831792975970425
test,10,41,8,group-disjoint,0.009473197781885398
test,11,10,6,group-disjoint,0.0023105360443622922
test,12,21,4,group-disjoint,0.004852125693160813
test,13,70,4,group-disjoint,0.016173752310536044
test,14,4,3,group-disjoint,0.0009242144177449168
test,15,11,3,group-disjoint,0.0025415896487985213
test,16,35,3,group-disjoint,0.008086876155268022
train,1,8297,2968,group-disjoint,0.444141105936513
train,2,1872,858,group-disjoint,0.10020876826722339
train,3,2509,822,group-disjoint,0.13430758524704245
train,4,2690,715,group-disjoint,0.14399657405920455
train,5,1804,375,group-disjoint,0.09656870617204646
train,6,132,55,group-disjoint,0.007066002890637546
train,7,328,50,group-disjoint,0.01755794657673572
train,8,148,50,group-disjoint,0.007922488089502704
train,9,165,41,group-disjoint,0.008832503613296933
train,10,225,37,group-disjoint,0.012044323109041272
train,11,67,29,group-disjoint,0.0035865317702478455
train,12,116,20,group-disjoint,0.006209517691772389
train,13,102,19,group-disjoint,0.005460093142765377
train,14,72,16,group-disjoint,0.003854183394893207
train,15,26,11,group-disjoint,0.0013917884481558804
train,16,128,10,group-disjoint,0.006851881590921257
val,1,1808,636,group-disjoint,0.4384093113482056
val,2,380,183,group-disjoint,0.0921435499515034
val,3,552,176,group-disjoint,0.1338506304558681
val,4,728,153,group-disjoint,0.17652764306498545
val,5,358,81,group-disjoint,0.08680892337536372
val,6,30,12,group-disjoint,0.0072744907856450046
val,7,65,10,group-disjoint,0.015761396702230843
val,8,28,11,group-disjoint,0.006789524733268671
val,9,40,9,group-disjoint,0.009699321047526674
val,10,33,8,group-disjoint,0.008001939864209506
val,11,21,7,group-disjoint,0.005092143549951503
val,12,10,4,group-disjoint,0.0024248302618816685
val,13,9,4,group-disjoint,0.0021823472356935015
val,14,14,4,group-disjoint,0.0033947623666343357
val,15,5,2,group-disjoint,0.0012124151309408342
val,16,43,2,group-disjoint,0.010426770126091174
